,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,835.5004024892194,339.9079711660935,30.906271839070108,615.5011050026201,641.9714979229856,364.87888405968897,965.152361442411,340.2807410619923,454.9702748157034,533.3838691615591,340.04277307280313,1330.628313172796,876.679911000028,339.98319159599265,273.5809843150912,824.9810614935292,1266.182296007894,1148.4279052766435
1,835.5004024892194,0.0,495.7549177722082,812.5865499939698,221.16885443089373,198.95060283395367,627.687681121154,146.63512300913135,495.38239504268546,381.43718415060647,313.978487798855,495.6503025757842,514.2188343930954,329.8193457397348,495.6845156375131,859.7590780427844,399.50468773553746,447.7392240271595,364.3083324890562
2,339.9079711660935,495.7549177722082,0.0,317.9260624834091,275.6167792817635,302.61957061487675,258.50054366641467,625.9707034424918,0.37277223128607256,117.99673219176793,198.5180655493544,0.730385475364365,993.3917018775212,571.5428641365427,0.13971889904858684,415.1505574162375,542.4791089588023,928.3929386164009,815.2379778803844
3,30.906271839070108,812.5865499939698,317.9260624834091,0.0,593.3690241860828,620.5227147604545,363.8539208333848,943.8729731438078,318.2979314011541,431.3860078466528,513.5488001956691,318.1080455322812,1310.5650009777255,863.3522709544054,318.0088995101107,293.3255861805788,814.5910851066321,1245.8292568113486,1129.836542192657
4,615.5011050026201,221.16885443089373,275.6167792817635,593.3690241860828,0.0,32.996448113253145,424.4964322139701,351.34423380404087,275.24409062912997,165.28225572364875,98.98728822469604,275.4710337715593,720.8566147672173,367.2699423333788,275.53954070422105,646.7473546156739,383.3576638932733,655.255039016817,549.4573837276944
5,641.9714979229856,198.95060283395367,302.61957061487675,620.5227147604545,32.996448113253145,0.0,435.28365457978305,323.35251838853105,302.24820540900777,195.52708216957708,115.08391629759802,302.4270597048654,691.5998927007939,336.059470445545,302.534852109837,662.6388502738744,356.2182637956618,626.2688696429358,518.2195533182096
6,364.87888405968897,627.687681121154,258.50054366641467,363.8539208333848,424.4964322139701,435.28365457978305,0.0,723.5434073631933,258.60634800511286,335.0289850431942,325.8486301768929,257.84894708423633,1060.1873566862248,555.830145571177,258.40855073209514,242.1139599367523,485.70932481548243,1000.755435925611,866.5166431312333
7,965.152361442411,146.63512300913135,625.9707034424918,943.8729731438078,351.34423380404087,323.35251838853105,723.5434073631933,0.0,625.599267793087,516.2381572356192,433.35973920153157,625.7793020514089,370.84779177236607,295.954803625385,625.8862164130269,962.899527979818,388.79702238806556,304.73016308139614,219.27106578450238
8,340.2807410619923,495.38239504268546,0.37277223128607256,318.2979314011541,275.24409062912997,302.24820540900777,258.60634800511286,625.599267793087,0.0,117.63610613877955,198.1606128749837,0.7578801212677789,993.0230416319799,571.230409159242,0.3205102243806967,415.43279060890706,542.2062357130815,928.0235049176953,814.8759078345691
9,454.9702748157034,381.43718415060647,117.99673219176793,431.3860078466528,165.28225572364875,195.52708216957708,335.0289850431942,516.2381572356192,117.63610613877955,0.0,114.98239386532018,118.05337538194286,886.1104328130832,499.7590003371656,117.95428983864362,523.6455356356549,489.42609063319946,820.4491947075256,713.6435243281506
