,specimen_id,"env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)"
114,humbertii_1344,,3.0,6.0,6.0
115,humbertii_1345,2.0,15.0,11.0,6.0
116,humbertii_1346,5.0,15.0,7.0,6.0
117,humbertii_1347,5.0,15.0,12.0,6.0
118,humbertii_1348,5.0,15.0,12.0,6.0
119,humbertii_1349,5.0,15.0,12.0,6.0
120,humbertii_1350,5.0,15.0,7.0,6.0
121,humbertii_1351,5.0,15.0,7.0,6.0
122,humbertii_1352,5.0,15.0,7.0,6.0
123,humbertii_1353,5.0,15.0,6.0,6.0
124,humbertii_1354,5.0,15.0,7.0,6.0
125,humbertii_1355,5.0,15.0,7.0,6.0
126,humbertii_1356,5.0,15.0,7.0,6.0
127,humbertii_1357,1.0,15.0,12.0,6.0
128,humbertii_1358,6.0,15.0,6.0,6.0
129,humbertii_1359,2.0,16.0,7.0,6.0
130,humbertii_1360,2.0,16.0,7.0,6.0
131,humbertii_1361,2.0,16.0,7.0,6.0
132,humbertii_1362,6.0,15.0,7.0,6.0
133,humbertii_1363,6.0,16.0,6.0,6.0
134,humbertii_1364,6.0,16.0,7.0,6.0
135,humbertii_1365,6.0,16.0,6.0,6.0
136,humbertii_1366,6.0,16.0,6.0,6.0
137,humbertii_1367,6.0,16.0,12.0,6.0
138,humbertii_1368,6.0,16.0,7.0,6.0
139,humbertii_1369,6.0,16.0,7.0,6.0
140,humbertii_1370,6.0,6.0,7.0,6.0
141,humbertii_1371,6.0,16.0,22.0,6.0
142,humbertii_1372,6.0,16.0,22.0,6.0
143,humbertii_1373,6.0,16.0,22.0,6.0
144,humbertii_1374,6.0,16.0,22.0,6.0
145,humbertii_1375,6.0,16.0,22.0,6.0
146,humbertii_1376,6.0,16.0,7.0,6.0
147,humbertii_1377,6.0,17.0,7.0,19.0
148,humbertii_1378,6.0,16.0,5.0,19.0
149,humblotiana_1379,,,,
150,humblotiana_1380,,,,
151,humblotiana_1381,,,,
152,humblotiana_1382,,,,
153,humblotiana_1383,,,,
154,humblotiana_1384,,,,
155,humblotiana_1385,,,,
156,humblotiana_1386,,,,
157,humblotiana_1387,,,,
158,humblotiana_1388,,,,
159,humblotiana_1389,,,,
160,humblotiana_1390,,,,
161,humblotiana_1391,10.0,11.0,16.0,3.0
162,humblotiana_1392,10.0,11.0,16.0,3.0
163,kianjavatensis_1469,10.0,11.0,16.0,3.0
164,kianjavatensis_1470,10.0,11.0,16.0,3.0
165,kianjavatensis_1471,10.0,11.0,16.0,3.0
166,kianjavatensis_1472,10.0,11.0,16.0,3.0
167,lancifolia_1499,10.0,11.0,16.0,3.0
168,lancifolia_1500,10.0,11.0,16.0,2.0
169,lancifolia_1501,10.0,11.0,16.0,2.0
170,leroyi_1598,5.0,15.0,7.0,6.0
171,leroyi_1599,10.0,10.0,16.0,3.0
172,leroyi_1600,10.0,11.0,16.0,3.0
173,leroyi_1601,10.0,11.0,16.0,3.0
174,leroyi_1602,10.0,11.0,16.0,3.0
175,leroyi_1603,10.0,9.0,14.0,2.0
176,leroyi_1604,10.0,9.0,4.0,2.0
177,leroyi_1605,10.0,9.0,16.0,2.0
178,leroyi_1606,10.0,9.0,14.0,14.0
179,leroyi_1607,10.0,9.0,6.0,14.0
180,leroyi_1608,10.0,9.0,14.0,14.0
181,leroyi_1609,10.0,9.0,16.0,2.0
182,leroyi_1610,10.0,9.0,14.0,2.0
183,leroyi_1611,10.0,9.0,14.0,2.0
184,millotii_2668,10.0,10.0,7.0,17.0
185,millotii_2669,10.0,11.0,16.0,3.0
186,millotii_2670,10.0,11.0,16.0,3.0
187,millotii_2671,10.0,11.0,16.0,3.0
188,millotii_2672,10.0,11.0,16.0,3.0
189,millotii_2673,10.0,11.0,16.0,3.0
190,millotii_2674,10.0,11.0,16.0,3.0
191,millotii_2675,10.0,11.0,16.0,3.0
192,millotii_2676,10.0,11.0,4.0,3.0
193,millotii_2677,10.0,9.0,14.0,2.0
194,millotii_2678,10.0,9.0,14.0,2.0
195,millotii_2679,11.0,7.0,14.0,2.0
196,millotii_2680,11.0,7.0,14.0,2.0
197,millotii_2681,10.0,11.0,14.0,2.0
198,millotii_2682,10.0,11.0,16.0,2.0
199,millotii_2683,10.0,11.0,16.0,2.0
200,millotii_2684,10.0,11.0,4.0,2.0
201,millotii_2685,10.0,11.0,16.0,2.0
202,millotii_2686,10.0,11.0,16.0,2.0
203,millotii_2687,10.0,9.0,14.0,2.0
204,millotii_2688,10.0,10.0,4.0,2.0
205,millotii_2689,10.0,9.0,14.0,1.0
206,millotii_2690,1.0,21.0,4.0,2.0
207,millotii_2691,,,25.0,
208,millotii_2692,,6.0,14.0,
209,millotii_2693,,6.0,14.0,
210,millotii_2694,,6.0,14.0,
211,millotii_2695,10.0,11.0,14.0,2.0
212,millotii_2696,10.0,11.0,14.0,2.0
213,millotii_2697,10.0,9.0,14.0,14.0
214,millotii_2698,1.0,,25.0,2.0
215,millotii_2699,10.0,9.0,14.0,2.0
216,millotii_2700,10.0,10.0,16.0,2.0
217,millotii_2701,10.0,11.0,14.0,2.0
218,millotii_2702,10.0,11.0,14.0,2.0
219,millotii_2703,9.0,10.0,14.0,2.0
220,millotii_2704,10.0,11.0,16.0,2.0
221,millotii_2705,10.0,10.0,14.0,2.0
222,perrieri_3040,2.0,16.0,5.0,8.0
223,perrieri_3041,9.0,18.0,22.0,6.0
224,perrieri_3042,9.0,18.0,9.0,6.0
225,perrieri_3043,9.0,18.0,7.0,6.0
226,perrieri_3044,7.0,16.0,4.0,6.0
227,perrieri_3045,7.0,18.0,6.0,6.0
228,perrieri_3046,7.0,18.0,6.0,6.0
229,perrieri_3047,9.0,18.0,6.0,8.0
230,perrieri_3048,7.0,16.0,5.0,8.0
231,perrieri_3049,7.0,16.0,5.0,8.0
232,perrieri_3050,7.0,6.0,5.0,8.0
233,perrieri_3051,7.0,6.0,5.0,8.0
234,perrieri_3052,7.0,6.0,5.0,8.0
235,perrieri_3053,7.0,6.0,5.0,8.0
236,perrieri_3054,7.0,5.0,7.0,8.0
237,perrieri_3055,2.0,16.0,6.0,8.0
238,perrieri_3056,6.0,22.0,22.0,18.0
239,perrieri_3057,6.0,18.0,6.0,18.0
240,perrieri_3058,6.0,22.0,23.0,18.0
241,perrieri_3059,7.0,20.0,7.0,8.0
242,perrieri_3060,7.0,20.0,5.0,8.0
243,perrieri_3061,7.0,20.0,1.0,8.0
244,perrieri_3062,7.0,20.0,5.0,8.0
245,perrieri_3063,7.0,6.0,4.0,8.0
246,perrieri_3064,7.0,6.0,4.0,8.0
247,perrieri_3065,9.0,22.0,7.0,6.0
248,perrieri_3066,9.0,22.0,12.0,6.0
249,perrieri_3067,9.0,6.0,12.0,6.0
250,perrieri_3068,10.0,18.0,7.0,6.0
251,perrieri_3069,10.0,6.0,12.0,5.0
252,perrieri_3070,10.0,6.0,12.0,6.0
253,perrieri_3071,10.0,6.0,12.0,6.0
254,perrieri_3072,10.0,6.0,12.0,6.0
255,perrieri_3073,10.0,6.0,12.0,6.0
256,perrieri_3074,10.0,6.0,12.0,6.0
257,perrieri_3075,10.0,6.0,7.0,5.0
258,perrieri_3076,10.0,6.0,12.0,6.0
259,perrieri_3077,10.0,22.0,7.0,17.0
260,perrieri_3078,6.0,18.0,6.0,20.0
261,perrieri_3079,6.0,16.0,2.0,9.0
262,perrieri_3080,10.0,11.0,16.0,3.0
263,perrieri_3081,10.0,11.0,16.0,3.0
264,perrieri_3082,10.0,9.0,16.0,14.0
265,pervilleana_3083,9.0,18.0,7.0,8.0
266,pervilleana_3084,9.0,18.0,7.0,8.0
267,pervilleana_3085,9.0,18.0,6.0,8.0
268,pervilleana_3086,9.0,18.0,6.0,8.0
269,pervilleana_3087,9.0,18.0,6.0,8.0
270,pervilleana_3088,9.0,18.0,6.0,8.0
271,pervilleana_3089,9.0,18.0,6.0,8.0
272,pervilleana_3090,2.0,16.0,6.0,8.0
273,pervilleana_3091,6.0,16.0,6.0,8.0
274,pervilleana_3092,7.0,16.0,5.0,8.0
275,pervilleana_3093,7.0,6.0,5.0,8.0
276,pervilleana_3094,7.0,6.0,5.0,8.0
277,pervilleana_3095,7.0,6.0,5.0,8.0
278,pervilleana_3096,7.0,6.0,6.0,8.0
279,pervilleana_3097,7.0,22.0,6.0,8.0
280,pervilleana_3098,7.0,20.0,5.0,8.0
281,pervilleana_3099,7.0,20.0,7.0,8.0
282,pervilleana_3100,10.0,12.0,6.0,19.0
283,pervilleana_3101,6.0,18.0,5.0,20.0
284,pervilleana_3102,10.0,11.0,16.0,3.0
285,pervilleana_3103,10.0,11.0,16.0,3.0
286,pervilleana_3104,7.0,13.0,7.0,24.0
287,pervilleana_3105,,,25.0,
288,pervilleana_3106,,,25.0,
289,pervilleana_3107,,,25.0,
290,pervilleana_3108,,,25.0,
291,pervilleana_3109,10.0,6.0,5.0,
292,pervilleana_3110,10.0,,25.0,
293,pervilleana_3111,6.0,19.0,7.0,11.0
294,pervilleana_3112,9.0,8.0,7.0,12.0
295,pervilleana_3113,6.0,20.0,7.0,1.0
296,resinosa_3306,10.0,10.0,7.0,17.0
297,resinosa_3307,9.0,19.0,16.0,4.0
298,resinosa_3308,9.0,12.0,15.0,4.0
299,resinosa_3309,9.0,12.0,15.0,4.0
300,resinosa_3310,9.0,12.0,15.0,4.0
301,resinosa_3311,9.0,12.0,15.0,4.0
302,resinosa_3312,9.0,12.0,15.0,4.0
303,resinosa_3313,9.0,21.0,15.0,4.0
304,resinosa_3314,9.0,21.0,15.0,4.0
305,resinosa_3315,9.0,21.0,16.0,4.0
306,resinosa_3316,10.0,7.0,14.0,4.0
307,resinosa_3317,9.0,21.0,4.0,4.0
308,resinosa_3318,2.0,,16.0,4.0
309,resinosa_3319,2.0,,16.0,4.0
310,resinosa_3320,9.0,,15.0,4.0
