genus_species,longitude,latitude,year,specimen_id
Coffea boiviniana,49.331899,-12.343523,2018,boiviniana_291
Coffea heimii,49.306528,-12.355424,2018,heimii_292
Coffea canephora,47.477278,-20.546111,2011,canephora_293
Coffea heimii,49.387585,-12.322474,2018,heimii_294
Coffea buxifolia,47.283333,-18.166667,2016,buxifolia_295
Coffea resinosa (Hook.f.) Radlk.,47.773055,-23.042499,2016,resinosa (Hook.f.) Radlk._296
Coffea abbayesii J.-F.Leroy,46.962222,-24.836667,2010,bbayesii J.-F.Leroy_297
Coffea humbertii J.-F.Leroy,43.665555,-23.066388,2011,humbertii J.-F.Leroy_298
Coffea grevei Drake ex A.Chev.,46.817777,-16.314444,2010,grevei Drake ex A.Chev._299
Coffea boiviniana,49.24682,-12.370286,2018,boiviniana_300
Coffea bissetiae,46.672742,-16.32475,2018,bissetiae_301
Coffea tsirananae,49.201725,-12.347115,2017,tsirananae_302
Coffea ratsimamangae,49.201402,-12.391143,2017,ratsimamangae_303
Coffea humbertii,47.645882,-15.54911,2018,humbertii_304
Coffea humbertii,47.567887,-15.661652,2017,humbertii_305
Coffea bissetiae,47.552669,-15.692281,2017,bissetiae_306
Coffea boiviniana,49.233713,-12.257155,2017,boiviniana_307
Coffea buxifolia,47.26181,-18.072757,2016,buxifolia_308
Coffea richardii,49.380748,-17.500201,2017,richardii_309
Coffea liaudii,47.52341,-18.947216,2015,liaudii_310
Coffea buxifolia,46.63298,-20.595751,2011,buxifolia_311
Coffea richardii,49.422757,-17.667906,2017,richardii_312
Coffea richardii,49.370938,-17.429905,2017,richardii_313
Coffea perrieri,47.01973,-16.763061,2017,perrieri_314
Coffea arenesiana,48.254139,-19.120401,2016,renesiana_315
Coffea richardii,49.242218,-18.198825,2016,richardii_316
Coffea grevei,44.658621,-20.067504,2016,grevei_317
Coffea abbayesii,47.1401,-24.835216,2011,bbayesii_318
Coffea toshii,47.071423,-23.638626,2011,toshii_319
Coffea resinosa (Hook. f.) Radlk.,47.701944,-23.175278,2011,resinosa (Hook. f.) Radlk._320
Coffea sakarahae J.-F. Leroy,44.150278,-22.704444,2015,sakarahae J.-F. Leroy_321
Coffea perrieri Drake ex Jum. & H. Perrier,44.156111,-22.718056,2015,perrieri Drake ex Jum. & H. Perrier_322
Coffea sakarahae J.-F. Leroy,44.154167,-22.705833,2015,sakarahae J.-F. Leroy_323
Coffea sakarahae J.-F. Leroy,44.158889,-22.687222,2015,sakarahae J.-F. Leroy_324
Coffea commersoniana (Baill.) A. Chev.,47.001944,-24.944167,2015,commersoniana (Baill.) A. Chev._325
Coffea arabica L.,49.618889,-14.613056,2014,rabica L._326
Coffea sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas.,49.965833,-14.152778,2014,sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._327
Coffea richardii J.-F. Leroy,50.0,-14.1,2014,richardii J.-F. Leroy_328
Coffea mangoroensis Portères,48.428333,-18.950556,2013,mangoroensis Portères_329
Coffea mangoroensis Portères,48.425278,-18.804167,2013,mangoroensis Portères_330
Coffea mangoroensis Portères,48.421111,-18.937778,2013,mangoroensis Portères_331
Coffea heimii J.-F. Leroy,49.583333,-12.970278,2013,heimii J.-F. Leroy_332
Coffea sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas.,48.5825,-19.165,2013,sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._333
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.537222,-18.086389,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._334
Coffea mangoroensis Portères,48.437222,-18.832778,2013,mangoroensis Portères_335
Coffea mangoroensis Portères,48.429445,-18.930556,2013,mangoroensis Portères_336
Coffea mangoroensis Portères,48.440556,-18.829722,2013,mangoroensis Portères_337
Coffea mangoroensis Portères,48.425278,-18.790833,2013,mangoroensis Portères_338
Coffea mangoroensis Portères,48.4175,-18.941111,2013,mangoroensis Portères_339
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.529167,-18.077778,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._340
Coffea richardii J.-F. Leroy,49.990556,-14.112778,2012,richardii J.-F. Leroy_341
Coffea richardii J.-F. Leroy,50.007222,-14.100833,2012,richardii J.-F. Leroy_342
Coffea mangoroensis Portères,48.421111,-18.937778,2013,mangoroensis Portères_343
Coffea mangoroensis Portères,48.424445,-18.925,2013,mangoroensis Portères_344
Coffea mangoroensis Portères,48.429722,-18.938333,2013,mangoroensis Portères_345
Coffea mangoroensis Portères,48.443333,-18.9225,2013,mangoroensis Portères_346
Coffea mangoroensis Portères,48.445278,-18.953611,2013,mangoroensis Portères_347
Coffea mangoroensis Portères,48.158056,-19.047778,2012,mangoroensis Portères_348
Coffea boiviniana (Baill.) Drake,45.341667,-16.461111,2012,boiviniana (Baill.) Drake_349
Coffea abbayesii J.-F. Leroy,47.136667,-24.835833,2012,bbayesii J.-F. Leroy_350
Coffea mangoroensis Portères,48.803056,-18.401389,2012,mangoroensis Portères_351
Coffea mangoroensis Portères,48.803056,-18.401389,2012,mangoroensis Portères_352
Coffea abbayesii J.-F. Leroy,47.136111,-24.842778,2012,bbayesii J.-F. Leroy_353
Coffea sakarahae J.-F. Leroy,45.096667,-21.095278,2011,sakarahae J.-F. Leroy_354
Coffea sakarahae J.-F. Leroy,45.096667,-21.095278,2011,sakarahae J.-F. Leroy_355
Coffea jumellei J.-F. Leroy,44.146944,-22.655278,2012,jumellei J.-F. Leroy_356
Coffea sakarahae J.-F. Leroy,44.137222,-22.701667,2011,sakarahae J.-F. Leroy_357
Coffea abbayesii J.-F. Leroy,47.166111,-24.796389,2012,bbayesii J.-F. Leroy_358
Coffea mangoroensis Portères,48.290556,-18.85,2011,mangoroensis Portères_359
Coffea sakarahae J.-F. Leroy,45.169167,-21.251944,2010,sakarahae J.-F. Leroy_360
Coffea mangoroensis Portères,48.288889,-18.835555,2011,mangoroensis Portères_361
Coffea millotii J.-F. Leroy,49.861111,-14.401111,2010,millotii J.-F. Leroy_362
Coffea buxifolia A. Chev.,47.808611,-19.270833,2011,buxifolia A. Chev._363
Coffea perrieri Drake ex Jum. & H. Perrier,44.288056,-22.820833,2010,perrieri Drake ex Jum. & H. Perrier_364
Coffea richardii J.-F. Leroy,50.041667,-14.101389,2010,richardii J.-F. Leroy_365
Coffea perrieri Drake ex Jum. & H. Perrier,44.287778,-22.820556,2010,perrieri Drake ex Jum. & H. Perrier_366
Coffea richardii J.-F. Leroy,50.042222,-14.108333,2010,richardii J.-F. Leroy_367
Coffea bertrandii A. Chev.,46.674722,-25.122222,2010,bertrandii A. Chev._368
Coffea mangoroensis Portères,48.279445,-18.846944,2010,mangoroensis Portères_369
Coffea mangoroensis Portères,48.279445,-18.869167,2010,mangoroensis Portères_370
Coffea mangoroensis,47.412985,-18.940755,2015,mangoroensis_371
Coffea arenesiana,47.5331,-18.939287,2015,renesiana_372
Coffea pervilleana (Baill.) Drake,44.56139,-18.11778,2012,pervilleana (Baill.) Drake_373
Coffea tetragona Jum. & H. Perrier,44.50722,-18.04778,2012,tetragona Jum. & H. Perrier_374
Coffea perrieri Jum. & H. Perrier,44.47222,-17.93972,2011,perrieri Jum. & H. Perrier_375
Coffea perrieri Jum. & H. Perrier,44.56194,-18.11139,2012,perrieri Jum. & H. Perrier_376
Coffea moratii A. P. Davis & Rakotonas.,44.52917,-18.07778,2012,moratii A. P. Davis & Rakotonas._377
Coffea boiviniana (Baill.) Drake,49.2875,-12.89944,2010,boiviniana (Baill.) Drake_378
Coffea moratii A. P. Davis & Rakotonas.,44.55917,-18.12194,2012,moratii A. P. Davis & Rakotonas._379
Coffea moratii A. P. Davis & Rakotonas.,44.53722,-18.08639,2012,moratii A. P. Davis & Rakotonas._380
Coffea mangoroensis,48.491446,-18.933058,2015,mangoroensis_381
Coffea mangoroensis,48.429993,-18.956738,2015,mangoroensis_382
Coffea millotii,49.7904,-16.474388,2015,millotii_383
Coffea richardii,49.411718,-17.780204,2015,richardii_384
Coffea betamponensis Portères & J.-F. Leroy,49.0,-17.0,2011,betamponensis Portères & J.-F. Leroy_385
Coffea richardii J.-F. Leroy,49.0,-17.0,2011,richardii J.-F. Leroy_386
Coffea resinosa (Hook. f.) Radlk.,49.0,-17.0,2011,resinosa (Hook. f.) Radlk._387
Coffea toshii A. P Davis & Rakotonas.,47.0,-23.0,2011,toshii A. P Davis & Rakotonas._388
Coffea millotii J.-F. Leroy,47.0,-23.0,2011,millotii J.-F. Leroy_389
Coffea resinosa (Hook. f.) Radlk.,47.0,-23.0,2011,resinosa (Hook. f.) Radlk._390
Coffea mangoroensis Portères,48.57,-18.12,2011,mangoroensis Portères_391
Coffea resinosa (Hook. f.) Radlk.,48.7,-13.58,2011,resinosa (Hook. f.) Radlk._392
Coffea buxifolia,46.63298,-20.595751,2012,buxifolia_393
