genus_species,longitude,latitude,year,specimen_id
Coffea tetragona Jum. & H. Perrier,44.507222,-18.047778,2012,tetragona Jum. & H. Perrier_66
Coffea heimii J.-F. Leroy,49.583333,-12.970278,2013,heimii J.-F. Leroy_67
Coffea pervilleana (Baill.) Drake,44.561389,-18.117778,2012,pervilleana (Baill.) Drake_68
Coffea boiviniana (Baill.) Drake,49.2875,-12.899444,2010,boiviniana (Baill.) Drake_69
Coffea richardii J.-F. Leroy,49.3275,-17.965278,2017,richardii J.-F. Leroy_70
Coffea bertrandii A. Chev.,46.674722,-25.122222,2010,bertrandii A. Chev._71
Coffea richardii J.-F. Leroy,49.3275,-17.965278,2017,richardii J.-F. Leroy_72
Coffea mangoroensis Portères,48.445278,-18.953611,2013,mangoroensis Portères_73
Coffea boiviniana (Baill.) Drake,45.341667,-16.461111,2012,boiviniana (Baill.) Drake_74
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.537222,-18.086389,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._75
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.529167,-18.077778,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._76
Coffea richardii J.-F. Leroy,50.007222,-14.100833,2012,richardii J.-F. Leroy_77
Coffea mangoroensis Portères,48.429722,-18.938333,2013,mangoroensis Portères_78
Coffea perrieri Drake ex Jum. & H. Perrier,44.287778,-22.820556,2010,perrieri Drake ex Jum. & H. Perrier_79
Coffea sakarahae J.-F. Leroy,45.169167,-21.251944,2010,sakarahae J.-F. Leroy_80
Coffea mangoroensis Portères,48.279445,-18.869167,2010,mangoroensis Portères_81
Coffea perrieri Drake ex Jum. & H. Perrier,44.288056,-22.820833,2010,perrieri Drake ex Jum. & H. Perrier_82
Coffea perrieri Drake ex Jum. & H. Perrier,44.272222,-22.853611,2022,perrieri Drake ex Jum. & H. Perrier_83
Coffea perrieri Drake ex Jum. & H. Perrier,44.263056,-22.845833,2022,perrieri Drake ex Jum. & H. Perrier_84
Coffea tricalysioides J.-F. Leroy,47.703333,-20.308333,2013,tricalysioides J.-F. Leroy_85
Coffea liaudii J.-F. Leroy ex A.P. Davis,47.023333,-17.837778,2021,liaudii J.-F. Leroy ex A.P. Davis_86
Coffea perrieri Drake ex Jum. & H. Perrier,46.145833,-24.303611,2022,perrieri Drake ex Jum. & H. Perrier_87
Coffea millotii J.-F. Leroy,49.786667,-16.4525,2015,millotii J.-F. Leroy_88
Coffea richardii J.-F. Leroy,49.21,-18.006389,2018,richardii J.-F. Leroy_89
Coffea richardii J.-F. Leroy,49.21,-18.006389,2018,richardii J.-F. Leroy_90
Coffea dubardii Jum.,49.174722,-12.482778,2011,dubardii Jum._91
Coffea pervilleana (Baill.) Drake,44.561389,-18.117778,2012,pervilleana (Baill.) Drake_92
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.559167,-18.121944,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._93
Coffea perrieri Drake ex Jum. & H. Perrier,44.472222,-17.939722,2011,perrieri Drake ex Jum. & H. Perrier_94
Coffea dubardii Jum.,49.174722,-12.482778,2011,dubardii Jum._95
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.559167,-18.121944,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._96
Coffea richardii J.-F. Leroy,49.318056,-17.913889,2018,richardii J.-F. Leroy_97
Coffea dubardii Jum.,49.174722,-12.482778,2011,dubardii Jum._98
Coffea pervilleana (Baill.) Drake,44.561389,-18.117778,2012,pervilleana (Baill.) Drake_99
Coffea richardii J.-F. Leroy,49.3275,-17.965278,2017,richardii J.-F. Leroy_100
Coffea millotii J.-F. Leroy,48.556111,-19.158611,2017,millotii J.-F. Leroy_101
Coffea dubardii Jum.,49.218333,-12.578889,2012,dubardii Jum._102
Coffea perrieri Drake ex Jum. & H. Perrier,44.561944,-18.111389,2012,perrieri Drake ex Jum. & H. Perrier_103
Coffea richardii J.-F. Leroy,49.340278,-18.057222,2017,richardii J.-F. Leroy_104
Coffea richardii J.-F. Leroy,50.0,-14.1,2014,richardii J.-F. Leroy_105
Coffea perrieri Drake ex Jum. & H. Perrier,44.156111,-22.718056,2015,perrieri Drake ex Jum. & H. Perrier_106
Coffea perrieri Drake ex Jum. & H. Perrier,44.145556,-22.707778,2017,perrieri Drake ex Jum. & H. Perrier_107
Coffea sakarahae J.-F. Leroy,44.158889,-22.687222,2015,sakarahae J.-F. Leroy_108
Coffea millotii J.-F. Leroy,48.556111,-19.158611,2017,millotii J.-F. Leroy_109
Coffea dubardii Jum.,49.218333,-12.578889,2012,dubardii Jum._110
Coffea richardii J.-F. Leroy,50.0,-14.1,2014,richardii J.-F. Leroy_111
Coffea perrieri Drake ex Jum. & H. Perrier,44.561944,-18.111389,2012,perrieri Drake ex Jum. & H. Perrier_112
Coffea richardii J.-F. Leroy,49.308889,-17.956667,2017,richardii J.-F. Leroy_113
Coffea mangoroensis Portères,48.429445,-18.930556,2013,mangoroensis Portères_114
Coffea heimii J.-F. Leroy,49.583333,-12.970278,2013,heimii J.-F. Leroy_115
Coffea jumellei J.-F. Leroy,44.146944,-22.655278,2012,jumellei J.-F. Leroy_116
Coffea abbayesii J.-F. Leroy,47.136111,-24.842778,2012,bbayesii J.-F. Leroy_117
Coffea mangoroensis Portères,48.437222,-18.832778,2013,mangoroensis Portères_118
Coffea richardii J.-F. Leroy,49.990556,-14.112778,2012,richardii J.-F. Leroy_119
Coffea mangoroensis Portères,48.421111,-18.937778,2013,mangoroensis Portères_120
Coffea boiviniana (Baill.) Drake,45.341667,-16.461111,2012,boiviniana (Baill.) Drake_121
Coffea sakarahae J.-F. Leroy,44.137222,-22.701667,2011,sakarahae J.-F. Leroy_122
Coffea sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas.,48.5825,-19.165,2013,sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._123
Coffea abbayesii J.-F. Leroy,47.166111,-24.796389,2012,bbayesii J.-F. Leroy_124
Coffea buxifolia A. Chev.,47.808611,-19.270833,2011,buxifolia A. Chev._125
Coffea mangoroensis Portères,48.290556,-18.85,2011,mangoroensis Portères_126
Coffea perrieri Drake ex Jum. & H. Perrier,44.287778,-22.820556,2010,perrieri Drake ex Jum. & H. Perrier_127
Coffea richardii J.-F. Leroy,50.041667,-14.101389,2010,richardii J.-F. Leroy_128
Coffea mangoroensis Portères,48.279445,-18.846944,2010,mangoroensis Portères_129
Coffea sakarahae J.-F. Leroy,44.158889,-22.687222,2015,sakarahae J.-F. Leroy_130
Coffea sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas.,49.965833,-14.152778,2014,sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._131
Coffea commersoniana (Baill.) A. Chev.,47.001944,-24.944167,2015,commersoniana (Baill.) A. Chev._132
Coffea mangoroensis Portères,48.421111,-18.937778,2013,mangoroensis Portères_133
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.537222,-18.086389,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._134
Coffea tricalysioides J.-F. Leroy,47.703333,-20.308333,2013,tricalysioides J.-F. Leroy_135
Coffea abbayesii J.-F. Leroy,47.166111,-24.796389,2012,bbayesii J.-F. Leroy_136
Coffea sakarahae J.-F. Leroy,45.096667,-21.095278,2011,sakarahae J.-F. Leroy_137
Coffea mangoroensis Portères,48.279445,-18.869167,2010,mangoroensis Portères_138
Coffea mangoroensis Portères,48.443333,-18.9225,2013,mangoroensis Portères_139
Coffea abbayesii J.-F. Leroy,47.136111,-24.842778,2012,bbayesii J.-F. Leroy_140
Coffea bertrandii A. Chev.,46.674722,-25.122222,2010,bertrandii A. Chev._141
Coffea perrieri Drake ex Jum. & H. Perrier,45.365556,-21.188611,2022,perrieri Drake ex Jum. & H. Perrier_142
Coffea liaudii J.-F. Leroy ex A.P. Davis,47.023333,-17.837778,2021,liaudii J.-F. Leroy ex A.P. Davis_143
Coffea dubardii Jum.,49.133333,-12.566667,2017,dubardii Jum._144
Coffea perrieri Drake ex Jum. & H. Perrier,44.263056,-22.845833,2022,perrieri Drake ex Jum. & H. Perrier_145
Coffea perrieri Drake ex Jum. & H. Perrier,44.156111,-22.718056,2015,perrieri Drake ex Jum. & H. Perrier_146
Coffea perrieri Drake ex Jum. & H. Perrier,46.145833,-24.303611,2022,perrieri Drake ex Jum. & H. Perrier_147
Coffea richardii J.-F. Leroy,50.0,-14.1,2014,richardii J.-F. Leroy_148
Coffea richardii J.-F. Leroy,49.459444,-17.705556,2019,richardii J.-F. Leroy_149
Coffea richardii J.-F. Leroy,49.2425,-18.040833,2018,richardii J.-F. Leroy_150
Coffea tetragona Jum. & H. Perrier,44.507222,-18.047778,2012,tetragona Jum. & H. Perrier_151
Coffea resinosa (Hook. f.) Radlk.,47.701944,-23.175278,2011,resinosa (Hook. f.) Radlk._152
Coffea sakarahae J.-F. Leroy,44.150278,-22.704444,2015,sakarahae J.-F. Leroy_153
Coffea mangoroensis Portères,48.290556,-18.85,2011,mangoroensis Portères_154
Coffea mangoroensis Portères,48.425278,-18.804167,2013,mangoroensis Portères_155
Coffea mangoroensis Portères,48.421111,-18.937778,2013,mangoroensis Portères_156
Coffea sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas.,48.5825,-19.165,2013,sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._157
Coffea richardii J.-F. Leroy,49.990556,-14.112778,2012,richardii J.-F. Leroy_158
Coffea mangoroensis Portères,48.437222,-18.832778,2013,mangoroensis Portères_159
Coffea perrieri Drake ex Jum. & H. Perrier,44.145556,-22.707778,2017,perrieri Drake ex Jum. & H. Perrier_160
Coffea canephora Pierre ex A. Froehner,50.133333,-14.621944,2018,canephora Pierre ex A. Froehner_161
Coffea leroyi A.P. Davis,50.074722,-14.186667,2022,leroyi A.P. Davis_162
Coffea perrieri Drake ex Jum. & H. Perrier,44.288056,-22.820833,2010,perrieri Drake ex Jum. & H. Perrier_163
Coffea richardii J.-F. Leroy,49.21,-18.006389,2018,richardii J.-F. Leroy_164
Coffea richardii J.-F. Leroy,49.318056,-17.913889,2018,richardii J.-F. Leroy_165
Coffea dubardii Jum.,49.174722,-12.482778,2011,dubardii Jum._166
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.559167,-18.121944,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._167
Coffea perrieri Drake ex Jum. & H. Perrier,44.287778,-22.820556,2010,perrieri Drake ex Jum. & H. Perrier_168
Coffea dubardii Jum.,49.218333,-12.578889,2012,dubardii Jum._169
Coffea richardii J.-F. Leroy,49.308889,-17.956667,2017,richardii J.-F. Leroy_170
Coffea richardii J.-F. Leroy,49.340278,-18.057222,2017,richardii J.-F. Leroy_171
Coffea sakarahae J.-F. Leroy,44.154167,-22.705833,2015,sakarahae J.-F. Leroy_172
Coffea pervilleana (Baill.) Drake,44.561389,-18.117778,2012,pervilleana (Baill.) Drake_173
Coffea perrieri Drake ex Jum. & H. Perrier,44.561944,-18.111389,2012,perrieri Drake ex Jum. & H. Perrier_174
Coffea sakarahae J.-F. Leroy,44.137222,-22.701667,2011,sakarahae J.-F. Leroy_175
Coffea arabica L.,49.618889,-14.613056,2014,rabica L._176
Coffea richardii J.-F. Leroy,50.007222,-14.100833,2012,richardii J.-F. Leroy_177
Coffea moratii J.-F. Leroy ex A.P. Davis & Rakotonas.,44.529167,-18.077778,2012,moratii J.-F. Leroy ex A.P. Davis & Rakotonas._178
Coffea mangoroensis Portères,48.440556,-18.829722,2013,mangoroensis Portères_179
Coffea mangoroensis Portères,48.445278,-18.953611,2013,mangoroensis Portères_180
Coffea mangoroensis Portères,48.158056,-19.047778,2012,mangoroensis Portères_181
Coffea mangoroensis Portères,48.429722,-18.938333,2013,mangoroensis Portères_182
Coffea boiviniana (Baill.) Drake,45.341667,-16.461111,2012,boiviniana (Baill.) Drake_183
Coffea mangoroensis Portères,48.424445,-18.925,2013,mangoroensis Portères_184
Coffea mangoroensis Portères,48.4175,-18.941111,2013,mangoroensis Portères_185
Coffea mangoroensis Portères,48.425278,-18.790833,2013,mangoroensis Portères_186
Coffea mangoroensis Portères,48.803056,-18.401389,2012,mangoroensis Portères_187
Coffea mangoroensis Portères,48.803056,-18.401389,2012,mangoroensis Portères_188
Coffea abbayesii J.-F. Leroy,47.136667,-24.835833,2012,bbayesii J.-F. Leroy_189
Coffea jumellei J.-F. Leroy,44.146944,-22.655278,2012,jumellei J.-F. Leroy_190
Coffea sakarahae J.-F. Leroy,45.169167,-21.251944,2010,sakarahae J.-F. Leroy_191
Coffea millotii J.-F. Leroy,49.861111,-14.401111,2010,millotii J.-F. Leroy_192
Coffea richardii J.-F. Leroy,50.041667,-14.101389,2010,richardii J.-F. Leroy_193
Coffea buxifolia A. Chev.,47.808611,-19.270833,2011,buxifolia A. Chev._194
Coffea mangoroensis Portères,48.279445,-18.846944,2010,mangoroensis Portères_195
Coffea millotii J.-F. Leroy,49.786667,-16.4525,2015,millotii J.-F. Leroy_196
Coffea resinosa (Hook. f.) Radlk.,49.405833,-17.688889,2019,resinosa (Hook. f.) Radlk._197
Coffea richardii J.-F. Leroy,50.016389,-14.101111,2019,richardii J.-F. Leroy_198
Coffea coursiana J.-F. Leroy,48.553056,-19.164722,2019,coursiana J.-F. Leroy_199
Coffea millotii J.-F. Leroy,49.198056,-18.036111,2018,millotii J.-F. Leroy_200
Coffea sakarahae J.-F. Leroy,44.136667,-22.683333,2017,sakarahae J.-F. Leroy_201
Coffea millotii J.-F. Leroy,48.556111,-19.158611,2017,millotii J.-F. Leroy_202
Coffea richardii J.-F. Leroy,49.3275,-17.965278,2017,richardii J.-F. Leroy_203
Coffea resinosa (Hook. f.) Radlk.,49.678333,-16.765833,2016,resinosa (Hook. f.) Radlk._204
