specimen_id,longitude,latitude,caffeine_percent
C_richardii_A575,49.308889,-17.956667,0.03
C_tetragona_A252,47.99,-13.77,0.03
C_heimii_A516,49.583333,-12.970278,0.0
C_tetragona_A252,47.99,-13.77,0.03
C_abbayesii_A601,47.136111,-24.842778,0.0
C_richardii_A575,49.990556,-14.112778,0.03
C_abbayesii_A601,47.166111,-24.796389,0.0
C_richardii_A575,48.950556,-19.044722,0.03
C_richardii_A575,48.950556,-19.044722,0.03
C_tetragona_A252,44.315803,-18.033509,0.03
C_perrieri_A12,44.324103,-18.035903,0.0
C_pervilleana_A957,44.2843,-17.543506,0.0
C_pervilleana_A957,44.324308,-18.035903,0.0
C_perrieri_A12,44.287778,-22.820556,0.0
C_richardii_A575,50.041667,-14.101389,0.03
C_richardii_A575,49.25027,-18.55944,0.03
C_richardii_A575,49.25611,-18.56527,0.03
C_richardii_A575,49.43333,-17.7,0.03
C_resinosa_A8,47.683333,-23.183333,0.0
C_tsirananae_A515,49.21111,-12.17833,0.0
C_tsirananae_A515,49.35805,-12.35083,0.0
C_dubardii_A969,44.749167,-16.958611,0.0
C_pervilleana_A957,49.36583,-12.37888,0.0
C_heimii_A516,49.35305,-12.37361,0.0
C_pervilleana_A957,49.36583,-12.37888,0.0
C_heimii_A516,49.45611,-12.58472,0.0
C_homollei_A945,48.731111,-17.503889,0.06
C_humbertii_RNF785,43.625806,-23.250722,0.0
C_perrieri_A12,46.673333,-24.798889,0.0
C_abbayesii_A601,47.166111,-24.796389,0.0
C_resinosa_A8,47.683333,-23.183333,0.0
C_tsirananae_A515,49.21111,-12.17833,0.0
C_humbertii_RNF785,46.981111,-24.884722,0.0
C_heimii_A516,49.45611,-12.58472,0.0
C_pervilleana_A957,49.36583,-12.37888,0.0
C_resinosa_A8,47.753611,-23.089722,0.0
C_abbayesii_A601,47.136111,-24.842778,0.0
C_resinosa_A8,47.733333,-23.166667,0.0
C_millotii_A222,49.98194,-15.62083,0.0
C_bertrandii_A5,46.674722,-25.122222,0.0
C_richardii_A575,49.45833,-17.70305,0.03
C_perrieri_A12,46.109722,-24.310833,0.0
C_perrieri_A12,46.15777,-24.33638,0.0
C_perrieri_A12,45.365556,-21.188611,0.0
C_dubardii_A969,49.133333,-12.566667,0.0
C_perrieri_A12,44.263056,-22.845833,0.0
C_abbayesii_A601,46.45,-24.36666,0.0
C_resinosa_A8,48.554167,-20.3725,0.0
C_perrieri_A12,44.156111,-22.718056,0.0
C_perrieri_A12,46.145833,-24.303611,0.0
C_richardii_A575,50.0,-14.1,0.03
C_tetragona_A252,47.99,-13.77,0.03
C_leroyi_A315,48.76777,-17.50694,0.02
C_richardii_A575,49.459444,-17.705556,0.03
C_richardii_A575,49.2425,-18.040833,0.03
C_leroyi_A315,48.72222,-17.54222,0.02
C_tetragona_A252,44.507222,-18.047778,0.03
C_resinosa_A8,47.701944,-23.175278,0.0
C_richardii_A575,48.950556,-19.044722,0.03
C_richardii_A575,49.990556,-14.112778,0.03
C_perrieri_A12,44.145556,-22.707778,0.0
C_leroyi_A315,50.074722,-14.186667,0.02
C_perrieri_A12,44.288056,-22.820833,0.0
C_dubardii_A969,44.749167,-16.958611,0.0
C_richardii_A575,49.21,-18.006389,0.03
C_richardii_A575,49.318056,-17.913889,0.03
C_dubardii_A969,49.174722,-12.482778,0.0
C_perrieri_A12,44.287778,-22.820556,0.0
C_dubardii_A969,49.1725,-12.487778,0.0
C_dubardii_A969,49.218333,-12.578889,0.0
C_richardii_A575,49.308889,-17.956667,0.03
C_richardii_A575,49.340278,-18.057222,0.03
C_pervilleana_A957,44.561389,-18.117778,0.0
C_perrieri_A12,44.561944,-18.111389,0.0
C_richardii_A575,50.007222,-14.100833,0.03
C_abbayesii_A601,47.136667,-24.835833,0.0
C_tsirananae_A515,49.35305,-12.37361,0.0
C_millotii_A222,49.861111,-14.401111,0.0
C_resinosa_A8,47.700278,-23.178611,0.0
C_richardii_A575,50.041667,-14.101389,0.03
C_tsirananae_A515,49.218611,-12.165556,0.0
C_millotii_A222,48.2925,-18.86611,0.0
C_richardii_A575,48.9525,-18.824722,0.03
C_richardii_A575,50.03972,-14.10777,0.03
C_richardii_A575,49.43333,-17.7,0.03
C_tsirananae_A515,49.35805,-12.35083,0.0
C_dubardii_A969,44.732222,-16.931667,0.0
C_leroyi_A315,49.31111,-14.30166,0.02
C_homollei_A945,48.73111,-17.50388,0.06
C_leroyi_A315,49.28583,-14.33666,0.02
C_heimii_A516,49.35305,-12.37361,0.0
C_leroyi_A315,49.301389,-14.325556,0.02
C_dubardii_A969,49.10972,-12.90888,0.0
C_humbertii_RNF785,43.714444,-23.002222,0.0
C_millotii_A222,48.31888,-18.86944,0.0
C_resinosa_A8,48.482222,-20.801944,0.0
C_resinosa_A8,47.724167,-23.170278,0.0
C_resinosa_A8,48.605833,-20.359444,0.0
C_resinosa_A8,49.256667,-18.565556,0.0
C_resinosa_A8,49.23388,-18.595,0.0
C_richardii_A575,49.25666,-18.56555,0.03
C_resinosa_A8,49.70611,-16.76055,0.0
C_resinosa_A8,49.70972,-16.76111,0.0
C_millotii_A222,49.786667,-16.4525,0.0
C_resinosa_A8,49.405833,-17.688889,0.0
C_richardii_A575,50.016389,-14.101111,0.03
C_millotii_A222,49.198056,-18.036111,0.0
C_millotii_A222,48.556111,-19.158611,0.0
C_richardii_A575,49.3275,-17.965278,0.03
C_resinosa_A8,49.678333,-16.765833,0.0
C_heimii_A516,49.583333,-12.970278,0.0
C_perrieri_A12,46.109722,-24.310833,0.0
C_perrieri_A12,46.145833,-24.303611,0.0
C_perrieri_A12,45.365556,-21.188611,0.0
C_millotii_A222,49.786667,-16.4525,0.0
C_leroyi_A315,50.074722,-14.186667,0.02
C_humbertii_RNF785,43.625806,-23.250722,0.0
C_perrieri_A12,45.989986,-17.052635,0.0
C_perrieri_A12,45.985053,-17.067958,0.0
C_dubardii_A969,49.16667,-12.95,0.0
C_dubardii_A969,49.16667,-12.95,0.0
C_tsirananae_A515,49.371244,-12.226533,0.0
C_heimii_A516,49.263119,-12.279828,0.0
C_tsirananae_A515,47.863972,-21.382389,0.0
C_resinosa_A8,49.681278,-16.867389,0.0
C_perrieri_A12,47.863972,-21.382389,0.0
C_heimii_A516,47.863972,-21.382389,0.0
C_homollei_A945,47.863972,-21.382389,0.06
C_homollei_A945,47.863972,-21.382389,0.06
C_dubardii_A969,47.863972,-21.382389,0.0
C_arenesiana_A403,47.863972,-21.382389,0.0
C_vianneyi_A946,47.863972,-21.382389,0.04
C_vianneyi_A946,47.867861,-21.377889,0.04
C_tetragona_A252,47.863972,-21.382389,0.03
C_richardii_A575,47.863972,-21.382389,0.03
C_richardii_A575,47.872778,-21.385167,0.03
C_richardii_A575,49.256667,-18.565556,0.03
C_resinosa_A8,48.605833,-20.359444,0.0
C_resinosa_A8,47.727056,-23.013667,0.0
C_resinosa_A8,48.482222,-20.801944,0.0
C_resinosa_A8,49.234,-18.595139,0.0
C_millotii_A222,47.867861,-21.377889,0.0
C_millotii_A222,47.867861,-21.377889,0.0
C_millotii_A222,47.867861,-21.377889,0.0
C_millotii_A222,47.863972,-21.382389,0.0
C_millotii_A222,47.863972,-21.382389,0.0
C_millotii_A222,47.863972,-21.382389,0.0
C_millotii_A222,47.863972,-21.382389,0.0
C_resinosa_A8,48.554167,-20.3725,0.0
C_lancifolia_A320,47.863972,-21.382389,0.7
C_humbertii_RNF785,44.681028,-22.878083,0.0
C_perrieri_A12,47.863972,-21.382389,0.0
C_resinosa_A8,49.706111,-16.760556,0.0
C_humbertii_RNF785,44.681028,-22.878083,0.0
C_farafanganensis_A208,47.866667,-21.385167,0.045
C_farafanganensis_A208,47.863972,-21.382389,0.045
C_bertrandii_A5,47.87025,-21.377056,0.0
C_abbayesii_A601,47.867861,-21.377889,0.0
C_abbayesii_A601,47.863972,-21.382389,0.0
C_perrieri_A12,45.989,-17.06269,0.0
C_heimii_A516,49.347115,-12.210881,0.0
C_tsirananae_A515,49.251716,-12.382886,0.0
C_tsirananae_A515,49.266346,-12.314212,0.0
C_tsirananae_A515,49.355849,-12.251702,0.0
C_heimii_A516,49.303872,-12.318289,0.0
C_tsirananae_A515,49.281018,-12.403209,0.0
C_heimii_A516,49.226443,-12.281807,0.0
C_tsirananae_A515,49.297935,-12.30587,0.0
C_tsirananae_A515,49.219958,-12.50737,0.0
C_resinosa_A8,49.405833,-17.688889,0.0
C_perrieri_A12,47.781762,-14.79531,0.0
C_richardii_A575,50.016389,-14.101111,0.03
C_dubardii_A969,49.13,-12.57,0.0
C_humbertii_RNF785,44.68,-22.83,0.0
C_humbertii_RNF785,44.68,-22.88,0.0
C_resinosa_A8,47.77,-23.04,0.0
C_pervilleana_A957,44.516667,-18.061111,0.0
C_tetragona_A252,44.516667,-18.061111,0.03
C_perrieri_A12,44.516667,-18.027778,0.0
C_tsirananae_A515,49.340235,-12.302029,0.0
C_tsirananae_A515,49.322727,-12.338667,0.0
C_heimii_A516,49.3425,-12.396327,0.0
C_heimii_A516,49.2757,-12.398991,0.0
C_millotii_A222,47.9425,-21.406944,0.0
C_millotii_A222,47.941111,-21.402778,0.0
C_resinosa_A8,47.699444,-23.175556,0.0
C_tetragona_A252,47.8675,-21.374722,0.03
C_tetragona_A252,47.99889,-13.77222,0.03
C_resinosa_A8,48.60583,-20.35944,0.0
C_dubardii_A969,47.8675,-21.375833,0.0
C_leroyi_A315,47.867778,-21.375,0.02
C_pervilleana_A957,47.8675,-21.376389,0.0
C_richardii_A575,47.8675,-21.376389,0.03
C_perrieri_A12,47.867222,-21.376389,0.0
C_perrieri_A12,47.867222,-21.376389,0.0
C_resinosa_A8,47.8675,-21.375833,0.0
C_millotii_A222,47.8675,-21.375833,0.0
C_tsirananae_A515,49.322106,-12.239535,0.0
C_resinosa_A8,47.771282,-23.045858,0.0
C_millotii_A222,47.868056,-21.373333,0.0
C_heimii_A516,49.569592,-12.454103,0.0
C_heimii_A516,49.549809,-12.580463,0.0
C_richardii_A575,49.459444,-17.705556,0.03
C_dubardii_A969,49.133333,-12.566667,0.0
C_richardii_A575,49.318056,-17.913889,0.03
C_richardii_A575,49.2425,-18.040833,0.03
C_richardii_A575,49.21,-18.006389,0.03
C_millotii_A222,49.198056,-18.036111,0.0
C_perrieri_A12,44.145556,-22.707778,0.0
C_resinosa_A8,49.678333,-16.765833,0.0
C_tsirananae_A515,49.3375,-12.323889,0.0
C_millotii_A222,48.556111,-19.158611,0.0
C_dubardii_A969,49.1725,-12.487778,0.0
C_dubardii_A969,49.174722,-12.482778,0.0
C_dubardii_A969,49.218333,-12.578889,0.0
C_perrieri_A12,44.561944,-18.111389,0.0
C_perrieri_A12,44.472222,-17.939722,0.0
C_tetragona_A252,44.507222,-18.047778,0.03
C_pervilleana_A957,44.561389,-18.117778,0.0
