gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1257878384		http://www.tropicos.org/Specimen/100532674		http://creativecommons.org/licenses/by/4.0/legalcode	2022-07-18 09:40:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		G	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100532674	100532674	Rakotovao 5975	Charles Rakotovao|Jacky Andriantiana|Lucile Allorge		5																																			2012	9	4												Africa & Madagascar				Madagascar	MG	Mahajanga	Boeny		District de Soalala, commune rural Andranomavo, Parc national de Namoroka, tsingy de Namoroka, situé à l'oust du village Vilanandro (environ 3 km), Tsingy Belaky.		146.00000000											-16.4611111	45.3416666																																								C.Rakotovao		2013				27906326								Coffea boiviniana (Baill.) Drake								Plantae				Rubiaceae		Coffea				boiviniana					(Baill.) Drake		ICNafp		No opinion	
1257859957		http://www.tropicos.org/Specimen/100513570		http://creativecommons.org/licenses/by/4.0/legalcode	2018-12-28 04:35:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		TAN	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100513570	100513570	Ramananjanahary 693	Rondro Hanitrinitiana Ramananjanahary|Nivo Rakotonirina|Richard Razakamalala		3																																			2012	8	10												Africa & Madagascar				Madagascar	MG	Toliara	Anosy		Fort-Dauphin, Sainte Luce, Malailay be. Aux environs du PLAC 3.		6.00000000											-24.8358333	47.1366666																																								R. Ramananjanahary		2012				27907255								Coffea abbayesii J.-F. Leroy								Plantae				Rubiaceae		Coffea				abbayesii					J.-F. Leroy		ICNafp		No opinion	
1257831655		http://www.tropicos.org/Specimen/100484947		http://creativecommons.org/licenses/by/4.0/legalcode	2021-05-12 13:33:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		K	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100484947	100484947	Antilahimena 8044	P. Antilahimena		5																																			2012	1	25												Africa & Madagascar				Madagascar	MG	Toamasina	Atsinanana		Brickaville, Anjahamamy, Anivoranokely, Ankerana forest.		991.00000000											-18.4036111	48.8066667																																								F. Rakotonasolo		2015				40011705								Coffea L.								Plantae				Rubiaceae		Coffea									L.		ICNafp		Legitimate	
1257817478		http://www.tropicos.org/Specimen/100470666		http://creativecommons.org/licenses/by/4.0/legalcode	2015-02-06 06:05:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		P	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100470666	100470666	Rakotoarivelo 624	Nivo H. Rakotoarivelo|L. Rasoaviety|Y. J. Lezafy|C. Zafindrafeno|L. Randrianarimanana|Foara		5																																			2012	1	20												Africa & Madagascar				Madagascar	MG	Toamasina	Atsinanana		Atsinanana, Vatomandry, Ambalabe, Ambinanindrano II. Forêt de Vohibe, entre zanak'Ambatomahazo et zanak'i Vakoanina.		676.00000000											-19.1533333	48.5786111																																														40011705								Coffea L.								Plantae				Rubiaceae		Coffea									L.		ICNafp		Legitimate	
1257815097		http://www.tropicos.org/Specimen/100468291		http://creativecommons.org/licenses/by/4.0/legalcode	2018-12-28 04:35:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		TAN	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100468291	100468291	Ravelonarivo 4043	Désiré Ravelonarivo|Félix Edmond		5																																			2012	1	17												Africa & Madagascar				Madagascar	MG	Toamasina	Atsinanana		Brickaville, Maroseranana, Ambatolampy, Massif d'Ankerana. Forêt de Vohimanana.		1078.00000000											-18.4013889	48.8030556																																								F. Rakotonasolo		2013				50217723								Coffea mangoroensis Portères								Plantae				Rubiaceae		Coffea				mangoroensis					Portères		ICNafp		No opinion	
1257814779		http://www.tropicos.org/Specimen/100467971		http://creativecommons.org/licenses/by/4.0/legalcode	2018-12-28 04:35:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		TAN	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100467971	100467971	Ravelonarivo 4042	Désiré Ravelonarivo|Félix Edmond		6																																			2012	1	17												Africa & Madagascar				Madagascar	MG	Toamasina	Atsinanana		Brickaville, Maroseranana, Ambatolampy, Massif d'Ankerana. Forêt de Vohimanana.		1078.00000000											-18.4013889	48.8030556																																								F. Rakotonasolo		2013				50217723								Coffea mangoroensis Portères								Plantae				Rubiaceae		Coffea				mangoroensis					Portères		ICNafp		No opinion	
1257813153		http://www.tropicos.org/Specimen/100466330		http://creativecommons.org/licenses/by/4.0/legalcode	2012-11-07 13:58:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		P	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100466330	100466330	Razakamalala 6039	Richard Razakamalala		4																																			2011	1	13												Africa & Madagascar				Madagascar	MG	Toliara	Atsimo-Andrefana		District & Commune: Beroroha. Fokontany: Betorabato. Abotorabatorano.		299.00000000											-21.5661111	45.5755556																																														40011705								Coffea L.								Plantae				Rubiaceae		Coffea									L.		ICNafp		Legitimate	
1257812410		http://www.tropicos.org/Specimen/100465594		http://creativecommons.org/licenses/by/4.0/legalcode	2012-04-18 05:34:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		P	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100465594	100465594	Ratovoson 1798	F. Ratovoson		5																																			2012	2	26												Africa & Madagascar				Madagascar	MG	Toliara	Anosy		Fort Dauphin, Mahatalaky, Belavenoko, S17 ou Vakiasambo, 2,5 km à l’est de Belavenoko.			10.00000000										-24.8427777	47.1361111																																								F. Ratovoson		2012				27907255								Coffea abbayesii J.-F. Leroy								Plantae				Rubiaceae		Coffea				abbayesii					J.-F. Leroy		ICNafp		No opinion	
1257812385		http://www.tropicos.org/Specimen/100465576		http://creativecommons.org/licenses/by/4.0/legalcode	2012-08-02 03:01:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		TAN	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100465576	100465576	Razakamalala 5909	Richard Razakamalala		1																																			2011	1	9												Africa & Madagascar				Madagascar	MG	Toliara	Atsimo-Andrefana		District & Commune: Beroroha. Fokontany : Antsoa. Village Antanamary. Androsy.		254.00000000											-21.0952777	45.0966666																																								Richard Razakamalala		2011				50089851								Coffea sakarahae J.-F. Leroy								Plantae				Rubiaceae		Coffea				sakarahae					J.-F. Leroy		ICNafp		No opinion	
1257811310		http://www.tropicos.org/Specimen/100464478		http://creativecommons.org/licenses/by/4.0/legalcode	2012-11-07 11:35:00.0			Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		P	Tropicos	Tropicos	MOBOT	PreservedSpecimen				urn:catalog:MO:Tropicos:100464478	100464478	Razakamalala 5855	Richard Razakamalala		4																																			2011	1	9												Africa & Madagascar				Madagascar	MG	Toliara	Atsimo-Andrefana		District & Commune: Beroroha. Fokontany : Antsoa. Village Antanamary. Androsy.		254.00000000											-21.0952777	45.0966666																																								Richard Razakamalala		2011				50089851								Coffea sakarahae J.-F. Leroy								Plantae				Rubiaceae		Coffea				sakarahae					J.-F. Leroy		ICNafp		No opinion	
