specimen_id,latitude,longitude,year,eventDate,species,scientificName,gbifID,occurrenceID,basisOfRecord,stateProvince,locality
Coffea_abbayesii,-24.835833,47.136667,2012.0,2012-08-10,Coffea abbayesii,Coffea abbayesii J.-F.Leroy,1257859957.0,urn:catalog:MO:Tropicos:100513570,PRESERVED_SPECIMEN,Toliara,"Fort-Dauphin, Sainte Luce, Malailay be. Aux environs du PLAC 3."
Coffea_abbayesii,-24.835216,47.1401,2011.0,2011-03-02,Coffea abbayesii,Coffea abbayesii J.-F.Leroy,1453052990.0,http://www.inaturalist.org/observations/1363493,HUMAN_OBSERVATION,Toliary,
Coffea_abbayesii,-24.796389,47.166111,2012.0,2012-03-01,Coffea abbayesii,Coffea abbayesii J.-F.Leroy,4419829378.0,urn:catalog:MO:Tropicos:103387372,PRESERVED_SPECIMEN,Toliara,"Anosy, Fort-Dauphin, Mahatalaky, fokontany Manafiafy. Forêt littorale S17 au bord de la rivière Elimoty."
Coffea_abbayesii,-24.796389,47.166111,2012.0,2012-03-01,Coffea abbayesii,Coffea abbayesii J.-F.Leroy,4061121229.0,urn:catalog:MO:Tropicos:102757894,PRESERVED_SPECIMEN,Toliara,"Anosy, Fort-Dauphin, Mahatalaky, fokontany Manafiafy. Forêt littorale S17 au bord de la rivière Elimoty."
Coffea_abbayesii,-24.796389,47.166111,2012.0,2012-03-01,Coffea abbayesii,Coffea abbayesii J.-F.Leroy,4032131699.0,urn:catalog:MO:Tropicos:102757895,PRESERVED_SPECIMEN,Toliara,"Anosy, Fort-Dauphin, Mahatalaky, fokontany Manafiafy. Forêt littorale S17 au bord de la rivière Elimoty."
Coffea_abbayesii,-24.796389,47.166111,2012.0,2012-03-01,Coffea abbayesii,Coffea abbayesii J.-F.Leroy,1257807710.0,urn:catalog:MO:Tropicos:100460891,PRESERVED_SPECIMEN,Toliara,"Anosy, Fort-Dauphin, Mahatalaky, fokontany Manafiafy. Forêt littorale S17 au bord de la rivière Elimoty."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea humblotiana,Coffea humblotiana Baill.,1257753502.0,urn:catalog:MO:Tropicos:100405816,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea heimii,Coffea heimii J.-F.Leroy,1257753496.0,urn:catalog:MO:Tropicos:100405813,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea minutiflora,Coffea minutiflora A.P.Davis & Rakotonas.,1257753487.0,urn:catalog:MO:Tropicos:100405808,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea perrieri,Coffea perrieri Drake ex Jum. & H.Perrier,1257753482.0,urn:catalog:MO:Tropicos:100405810,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea homollei,Coffea homollei J.-F.Leroy,1257753473.0,urn:catalog:MO:Tropicos:100405812,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea perrieri,Coffea perrieri Drake ex Jum. & H.Perrier,1257753472.0,urn:catalog:MO:Tropicos:100405809,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea millotii,Coffea millotii J.-F.Leroy,1257753046.0,urn:catalog:MO:Tropicos:100405353,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea millotii,Coffea millotii J.-F.Leroy,1257753039.0,urn:catalog:MO:Tropicos:100405355,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea millotii,Coffea millotii J.-F.Leroy,1257753027.0,urn:catalog:MO:Tropicos:100405356,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
Coffea_abbayesii,-21.3825,47.863889,2007.0,2007-11-11,Coffea millotii,Coffea millotii J.-F.Leroy,1257753024.0,urn:catalog:MO:Tropicos:100405364,PRESERVED_SPECIMEN,Fianarantsoa,"Station du FOFIFA Kianjavato, Antsenavolo, Mananjary. Parcelle de plantation de Mascarocoffea."
