,specimen_id,longitude,latitude
636,mangoroensis_636,48.424445,-18.925
637,mangoroensis_637,48.428333,-18.950556
638,bonnieri_638,48.08,-13.75
639,arabica_639,49.618889,-14.613056
640,sambavensis_640,49.965833,-14.152778
641,boiviniana_641,45.341667,-16.461111
644,humbertii_644,43.625806,-23.250722
645,tricalysioides_645,47.703333,-20.308333
647,rupicola_647,49.55,-13.22
648,bonnieri_648,48.08,-13.75
649,pustulata_649,49.603611,-13.240555
652,boiviniana_652,49.544444,-12.673611
658,richardii_658,49.318056,-17.913889
661,mangoroensis_661,48.440556,-18.829722
662,mangoroensis_662,48.421111,-18.937778
663,mangoroensis_663,48.158056,-19.047778
664,mangoroensis_664,48.443333,-18.9225
667,sakarahae_667,45.096667,-21.095278
675,commersoniana_675,46.890278,-25.0525
677,pervilleana_677,44.315803,-18.033509
679,tetragona_679,44.324308,-18.035903
686,perrieri_686,44.156111,-22.718056
688,commersoniana_688,47.021111,-24.941944
689,commersoniana_689,46.993889,-24.974167
691,pervilleana_691,44.301506,-18.015404
692,moratii_692,44.324308,-18.035903
694,bissetiae_694,46.8,-16.32
695,bissetiae_695,46.8,-16.32
697,sakarahae_697,44.136667,-22.683333
698,tsirananae_698,49.3375,-12.323889
699,boinensis_699,46.8,-16.3
700,tricalysioides_700,49.153889,-12.6025
702,tetragona_702,44.507222,-18.047778
704,heimii_704,49.583333,-12.970278
705,tetragona_705,47.99,-13.77
706,microdubardii_706,49.61,-13.26
708,tricalysioides_708,49.153889,-12.6025
709,pervilleana_709,44.561389,-18.117778
710,tricalysioides_710,49.152222,-12.583611
712,boiviniana_712,49.2875,-12.899444
713,richardii_713,49.3275,-17.965278
714,bertrandii_714,46.674722,-25.122222
717,resinosa_717,48.4875,-20.73944
718,richardii_718,49.43333,-17.7
719,richardii_719,49.3275,-17.965278
720,mangoroensis_720,48.445278,-18.953611
721,perrieri_721,46.673333,-24.798889
722,boiviniana_722,45.341667,-16.461111
723,resinosa_723,47.70666,-23.1775
724,buxifolia_724,47.00444,-20.06944
725,resinosa_725,47.70638,-23.17222
726,humbertii_726,46.981111,-24.884722
727,mangoroensis_727,48.27555,-18.86277
728,toshii_728,46.955,-22.496667
729,tetragona_729,47.99,-13.77
730,richardii_730,48.950556,-19.044722
733,bonnieri_733,48.08,-13.75
734,pustulata_734,49.603611,-13.240555
735,moratii_735,44.537222,-18.086389
736,bonnieri_736,48.092222,-13.761667
737,mangoroensis_737,48.29305,-18.875
738,liaudii_738,48.27777,-18.86777
741,mangoroensis_741,48.34166,-18.7875
742,moratii_742,44.529167,-18.077778
743,richardii_743,50.007222,-14.100833
744,mangoroensis_744,48.429722,-18.938333
745,mangoroensis_745,48.34527,-18.82194
746,tsirananae_746,49.21111,-12.17833
748,perrieri_748,44.287778,-22.820556
749,richardii_749,50.03972,-14.10777
752,sakarahae_752,45.169167,-21.251944
754,millotii_754,49.45445,-17.704817
757,commersoniana_757,46.993889,-24.974167
760,sambavensis_760,50.00111,-13.59555
764,bissetiae_764,46.41,-16.71
765,heimii_765,49.45611,-12.58472
766,mangoroensis_766,48.29666,-18.8675
767,leroyi_767,49.31111,-14.30166
770,resinosa_770,47.733333,-23.166667
771,mangoroensis_771,48.30583,-18.87222
772,tsirananae_772,49.35805,-12.35083
773,mangoroensis_773,48.279445,-18.869167
774,callmanderi_774,48.67,-13.64
775,commersoniana_775,47.02777,-24.94083
777,commersoniana_777,46.890278,-25.0525
778,perrieri_778,44.288056,-22.820833
781,resinosa_781,47.700278,-23.178611
782,resinosa_782,47.753611,-23.089722
783,jumellei_783,49.17361,-12.52388
784,liaudii_784,48.28388,-18.84583
785,resinosa_785,48.43388,-20.95027
786,perrieri_786,46.673333,-24.798889
787,buxifolia_787,47.004722,-20.089167
788,bissetiae_788,45.8,-16.05
789,ratsimamangae_789,49.355,-12.343889
790,dubardii_790,49.10972,-12.90888
791,resinosa_791,48.48527,-20.76222
792,sakarahae_792,46.726945,-24.777222
793,tricalysioides_793,49.12972,-14.21888
794,pustulata_794,49.606667,-13.258056
795,boiviniana_795,49.554167,-13.208889
797,humbertii_797,43.714444,-23.002222
798,mogenetii_798,49.06583,-14.22194
799,liaudii_799,48.27555,-18.86277
800,mangoroensis_800,48.27805,-18.87277
801,coursiana_801,49.389722,-13.737222
802,liaudii_802,48.271389,-18.859444
804,dubardii_804,44.732222,-16.931667
805,sambavensis_805,47.06666,-24.83333
807,perrieri_807,46.109722,-24.310833
809,perrieri_809,46.15777,-24.33638
810,sambavensis_810,50.09027,-13.71277
811,resinosa_811,48.482222,-20.801944
816,resinosa_816,48.605833,-20.359444
822,leroyi_822,48.72222,-17.54222
823,perrieri_823,44.272222,-22.853611
824,leroyi_824,48.72222,-17.54222
826,perrieri_826,44.263056,-22.845833
831,tricalysioides_831,47.703333,-20.308333
832,homollei_832,48.73111,-17.50388
833,leroyi_833,48.76777,-17.50694
837,liaudii_837,47.023333,-17.837778
839,perrieri_839,46.145833,-24.303611
844,millotii_844,49.786667,-16.4525
847,richardii_847,49.21,-18.006389
850,richardii_850,49.21,-18.006389
854,dubardii_854,49.174722,-12.482778
855,pervilleana_855,44.561389,-18.117778
856,moratii_856,44.559167,-18.121944
857,perrieri_857,44.472222,-17.939722
859,dubardii_859,49.174722,-12.482778
860,moratii_860,44.559167,-18.121944
864,richardii_864,49.318056,-17.913889
865,tricalysioides_865,49.153889,-12.6025
869,tsirananae_869,49.3375,-12.323889
870,boinensis_870,46.8,-16.3
874,bissetiae_874,46.81,-16.33
876,dubardii_876,49.174722,-12.482778
878,pervilleana_878,44.561389,-18.117778
879,tricalysioides_879,49.152222,-12.583611
884,richardii_884,49.3275,-17.965278
885,millotii_885,48.556111,-19.158611
886,dubardii_886,49.1725,-12.487778
887,dubardii_887,49.218333,-12.578889
888,perrieri_888,44.561944,-18.111389
889,richardii_889,49.340278,-18.057222
890,richardii_890,50.0,-14.1
891,toshii_891,46.955,-22.496667
892,perrieri_892,44.156111,-22.718056
894,perrieri_894,44.145556,-22.707778
896,toshii_896,46.955,-22.496667
897,sakarahae_897,44.158889,-22.687222
898,grevei_898,44.483333,-20.166667
899,millotii_899,48.556111,-19.158611
900,dubardii_900,49.1725,-12.487778
901,dubardii_901,49.218333,-12.578889
902,richardii_902,50.0,-14.1
903,perrieri_903,44.561944,-18.111389
904,tricalysioides_904,49.152222,-12.583611
907,richardii_907,49.308889,-17.956667
909,tetragona_909,47.99,-13.77
910,mogenetii_910,49.765833,-13.219722
911,rupicola_911,49.55,-13.22
912,microdubardii_912,49.61,-13.26
913,mangoroensis_913,48.429445,-18.930556
914,heimii_914,49.583333,-12.970278
915,tetragona_915,47.99,-13.77
916,bonnieri_916,48.08,-13.75
918,bonnieri_918,48.08,-13.75
919,pustulata_919,49.603611,-13.240555
920,microdubardii_920,49.61,-13.26
921,bonnieri_921,48.08,-13.75
922,rupicola_922,49.55,-13.22
923,jumellei_923,44.146944,-22.655278
924,abbayesii_924,47.136111,-24.842778
930,mangoroensis_930,48.437222,-18.832778
931,richardii_931,49.990556,-14.112778
933,mangoroensis_933,48.421111,-18.937778
940,commersoniana_940,46.993889,-24.974167
944,boiviniana_944,45.341667,-16.461111
945,sakarahae_945,44.137222,-22.701667
946,sambavensis_946,48.5825,-19.165
947,abbayesii_947,47.166111,-24.796389
949,richardii_949,48.950556,-19.044722
952,mangoroensis_952,48.280278,-18.854722
955,buxifolia_955,47.808611,-19.270833
956,richardii_956,48.950556,-19.044722
961,tetragona_961,44.315803,-18.033509
965,moratii_965,44.315803,-18.033509
966,perrieri_966,44.324103,-18.035903
967,pervilleana_967,44.2843,-17.543506
970,mangoroensis_970,48.290556,-18.85
974,pervilleana_974,44.324308,-18.035903
975,perrieri_975,44.287778,-22.820556
977,commersoniana_977,47.021111,-24.941944
978,commersoniana_978,47.001389,-24.9575
979,richardii_979,50.041667,-14.101389
981,tricalysioides_981,47.0975,-24.511111
984,mangoroensis_984,48.279445,-18.846944
985,richardii_985,49.25027,-18.55944
986,richardii_986,49.25611,-18.56527
987,mangoroensis_987,48.26833,-18.84194
988,mangoroensis_988,48.35694,-18.83527
989,mangoroensis_989,48.29638,-18.80138
990,mangoroensis_990,48.27222,-18.89055
991,liaudii_991,48.26916,-18.85722
994,grevei_994,43.565278,-22.876944
995,bonnieri_995,48.092222,-13.761667
997,richardii_997,49.43333,-17.7
998,bonnieri_998,48.092222,-13.761667
1000,liaudii_1000,48.271389,-18.859444
1001,bonnieri_1001,48.092222,-13.761667
1002,mangoroensis_1002,48.27583,-18.84027
1005,commersoniana_1005,46.868333,-25.061944
1009,tricalysioides_1009,49.352222,-15.136111
1010,resinosa_1010,47.683333,-23.183333
1011,tsirananae_1011,49.21111,-12.17833
1013,coursiana_1013,49.389722,-13.737222
1014,tsirananae_1014,49.35805,-12.35083
1018,dubardii_1018,44.749167,-16.958611
1019,kalobinonensis_1019,48.67,-13.65
1020,pervilleana_1020,49.36583,-12.37888
1021,callmanderi_1021,48.67,-13.64
1022,heimii_1022,49.35305,-12.37361
1023,pervilleana_1023,49.36583,-12.37888
1024,bissetiae_1024,46.41,-16.71
1025,heimii_1025,49.45611,-12.58472
1026,liaudii_1026,48.28388,-18.84583
1028,homollei_1028,48.731111,-17.503889
1029,sakarahae_1029,44.158889,-22.687222
1030,sambavensis_1030,49.965833,-14.152778
1031,humbertii_1031,43.625806,-23.250722
1032,commersoniana_1032,46.993889,-24.974167
1034,commersoniana_1034,47.001944,-24.944167
1035,perrieri_1035,46.673333,-24.798889
1036,mangoroensis_1036,48.421111,-18.937778
1037,toshii_1037,46.955,-22.496667
1039,mangoroensis_1039,48.29638,-18.80138
1040,moratii_1040,44.537222,-18.086389
1041,tricalysioides_1041,47.703333,-20.308333
1042,abbayesii_1042,47.166111,-24.796389
1043,mangoroensis_1043,48.26833,-18.84194
1044,liaudii_1044,48.271389,-18.859444
1045,sakarahae_1045,45.096667,-21.095278
1046,resinosa_1046,47.683333,-23.183333
1047,tsirananae_1047,49.21111,-12.17833
1048,commersoniana_1048,46.890278,-25.0525
1049,humbertii_1049,46.981111,-24.884722
1050,heimii_1050,49.45611,-12.58472
1051,mangoroensis_1051,48.279445,-18.869167
1053,pervilleana_1053,49.36583,-12.37888
1054,sakarahae_1054,46.726945,-24.777222
1055,mangoroensis_1055,48.34166,-18.7875
1056,resinosa_1056,47.753611,-23.089722
1057,grevei_1057,43.565278,-22.876944
1058,mangoroensis_1058,48.443333,-18.9225
1059,mangoroensis_1059,48.30583,-18.87222
1060,liaudii_1060,48.27777,-18.86777
1062,abbayesii_1062,47.136111,-24.842778
1063,resinosa_1063,47.733333,-23.166667
1065,millotii_1065,49.98194,-15.62083
1067,liaudii_1067,48.28388,-18.84583
1068,bertrandii_1068,46.674722,-25.122222
1069,ratsimamangae_1069,49.355,-12.343889
1070,jumellei_1070,49.17361,-12.52388
1071,tricalysioides_1071,49.12972,-14.21888
1072,richardii_1072,49.45833,-17.70305
1073,perrieri_1073,46.109722,-24.310833
1074,mangoroensis_1074,48.27555,-18.86305
1075,perrieri_1075,46.15777,-24.33638
1076,mangoroensis_1076,48.34527,-18.82194
1077,sambavensis_1077,50.09027,-13.71277
1079,perrieri_1079,45.365556,-21.188611
1080,liaudii_1080,47.023333,-17.837778
1084,dubardii_1084,49.133333,-12.566667
1088,bissetiae_1088,45.8,-16.05
1089,microdubardii_1089,49.56,-13.21
1090,buxifolia_1090,46.44583,-23.42
1091,perrieri_1091,44.263056,-22.845833
1093,abbayesii_1093,46.45,-24.36666
1094,resinosa_1094,48.554167,-20.3725
1095,perrieri_1095,44.156111,-22.718056
1096,perrieri_1096,46.145833,-24.303611
1097,richardii_1097,50.0,-14.1
1098,tetragona_1098,47.99,-13.77
1099,leroyi_1099,48.76777,-17.50694
1100,richardii_1100,49.459444,-17.705556
1101,richardii_1101,49.2425,-18.040833
1102,leroyi_1102,48.72222,-17.54222
1104,tetragona_1104,44.507222,-18.047778
1105,resinosa_1105,47.701944,-23.175278
1107,sakarahae_1107,44.150278,-22.704444
1108,mangoroensis_1108,48.290556,-18.85
1110,richardii_1110,48.950556,-19.044722
1111,commersoniana_1111,47.021111,-24.941944
1114,tricalysioides_1114,47.0975,-24.511111
1115,bonnieri_1115,48.08,-13.75
1116,mangoroensis_1116,48.425278,-18.804167
1117,mangoroensis_1117,48.421111,-18.937778
1118,sambavensis_1118,48.5825,-19.165
1119,richardii_1119,49.990556,-14.112778
1120,darainensis_1120,49.66,-12.91
1121,mangoroensis_1121,48.437222,-18.832778
1123,perrieri_1123,44.145556,-22.707778
1124,coursiana_1124,49.389722,-13.737222
1125,canephora_1125,50.133333,-14.621944
1126,leroyi_1126,50.074722,-14.186667
1130,perrieri_1130,44.288056,-22.820833
1131,tricalysioides_1131,49.153889,-12.6025
1132,dubardii_1132,44.749167,-16.958611
1134,richardii_1134,49.21,-18.006389
1137,richardii_1137,49.318056,-17.913889
1138,dubardii_1138,49.174722,-12.482778
1139,moratii_1139,44.559167,-18.121944
1140,perrieri_1140,44.287778,-22.820556
1141,grevei_1141,44.483333,-20.166667
1142,dubardii_1142,49.1725,-12.487778
1143,dubardii_1143,49.218333,-12.578889
1144,buxifolia_1144,47.004722,-20.089167
1145,microdubardii_1145,49.61,-13.26
1146,richardii_1146,49.308889,-17.956667
1147,richardii_1147,49.340278,-18.057222
1148,sakarahae_1148,44.154167,-22.705833
1149,pervilleana_1149,44.561389,-18.117778
1150,perrieri_1150,44.561944,-18.111389
1151,rupicola_1151,49.55,-13.22
1152,sambavensis_1152,47.06666,-24.83333
1153,sakarahae_1153,44.137222,-22.701667
1154,pustulata_1154,49.5575,-13.210167
1155,arabica_1155,49.618889,-14.613056
1156,mangoroensis_1156,48.34333,-18.79694
1157,mangoroensis_1157,48.34305,-18.82333
1158,commersoniana_1158,46.868333,-25.061944
1159,richardii_1159,50.007222,-14.100833
1160,moratii_1160,44.529167,-18.077778
1161,mangoroensis_1161,48.440556,-18.829722
1162,mangoroensis_1162,48.445278,-18.953611
1163,mangoroensis_1163,48.158056,-19.047778
1164,mangoroensis_1164,48.280278,-18.854722
1165,mangoroensis_1165,48.429722,-18.938333
1166,boiviniana_1166,45.341667,-16.461111
1167,mangoroensis_1167,48.424445,-18.925
1168,mangoroensis_1168,48.4175,-18.941111
1169,mangoroensis_1169,48.425278,-18.790833
1170,mangoroensis_1170,48.803056,-18.401389
1171,mangoroensis_1171,48.803056,-18.401389
1172,abbayesii_1172,47.136667,-24.835833
1173,tsirananae_1173,49.35305,-12.37361
1174,jumellei_1174,44.146944,-22.655278
1175,sakarahae_1175,45.169167,-21.251944
1178,millotii_1178,49.861111,-14.401111
1180,resinosa_1180,47.700278,-23.178611
1181,richardii_1181,50.041667,-14.101389
1182,buxifolia_1182,47.808611,-19.270833
1183,tsirananae_1183,49.218611,-12.165556
1184,millotii_1184,48.2925,-18.86611
1185,mangoroensis_1185,48.279445,-18.846944
1188,boiviniana_1188,49.554167,-13.208889
1189,bonnieri_1189,48.092222,-13.761667
1190,mangoroensis_1190,48.27222,-18.89055
1191,liaudii_1191,48.26916,-18.85722
1194,richardii_1194,48.9525,-18.824722
1196,mangoroensis_1196,48.27583,-18.86861
1197,mangoroensis_1197,48.27555,-18.86277
1199,mangoroensis_1199,48.27583,-18.84027
1201,liaudii_1201,48.27555,-18.86277
1202,mangoroensis_1202,48.34055,-18.78694
1204,mangoroensis_1204,48.284722,-18.818333
1205,richardii_1205,50.03972,-14.10777
1206,kalobinonensis_1206,48.67,-13.65
1207,mangoroensis_1207,48.34055,-18.79416
1208,richardii_1208,49.43333,-17.7
1209,tricalysioides_1209,49.352222,-15.136111
1210,tsirananae_1210,49.35805,-12.35083
1211,dubardii_1211,44.732222,-16.931667
1212,callmanderi_1212,48.67,-13.64
1213,mangoroensis_1213,48.29666,-18.8675
1214,leroyi_1214,49.31111,-14.30166
1215,homollei_1215,48.73111,-17.50388
1216,bissetiae_1216,46.41,-16.71
1217,leroyi_1217,49.28583,-14.33666
1218,liaudii_1218,48.271945,-18.860556
1219,heimii_1219,49.35305,-12.37361
1220,leroyi_1220,49.301389,-14.325556
1221,dubardii_1221,49.10972,-12.90888
1222,humbertii_1222,43.714444,-23.002222
1224,tricalysioides_1224,49.43333,-14.23333
1227,mangoroensis_1227,48.28944,-18.84527
1229,millotii_1229,48.31888,-18.86944
1232,mogenetii_1232,49.06583,-14.22194
1236,commersoniana_1236,46.86527,-25.05527
1237,resinosa_1237,48.482222,-20.801944
1238,resinosa_1238,47.724167,-23.170278
1239,resinosa_1239,48.605833,-20.359444
1240,sambavensis_1240,50.09972,-13.72055
1243,resinosa_1243,49.256667,-18.565556
1245,resinosa_1245,49.23388,-18.595
1246,richardii_1246,49.25666,-18.56555
1247,resinosa_1247,49.70611,-16.76055
1248,resinosa_1248,49.70972,-16.76111
1250,sambavensis_1250,50.09777,-13.71805
1269,tricalysioides_1269,49.152222,-12.583611
1274,millotii_1274,49.786667,-16.4525
1275,resinosa_1275,49.405833,-17.688889
1276,richardii_1276,50.016389,-14.101111
1277,coursiana_1277,48.553056,-19.164722
1279,millotii_1279,49.198056,-18.036111
1286,sakarahae_1286,44.136667,-22.683333
1290,millotii_1290,48.556111,-19.158611
1292,richardii_1292,49.3275,-17.965278
1293,resinosa_1293,49.678333,-16.765833
1294,heimii_1294,49.583333,-12.970278
1295,mangoroensis_1295,48.428333,-18.950556
1296,pustulata_1296,49.603611,-13.240555
1297,tricalysioides_1297,48.980573,-14.131205
1298,perrieri_1298,46.109722,-24.310833
1299,perrieri_1299,46.145833,-24.303611
1300,perrieri_1300,45.365556,-21.188611
1301,millotii_1301,49.786667,-16.4525
1302,leroyi_1302,50.074722,-14.186667
1303,humbertii_1303,43.625806,-23.250722
1305,tricalysioides_1305,47.703333,-20.308333
1306,canephora_1306,50.133333,-14.621944
1307,perrieri_1307,45.989986,-17.052635
1311,perrieri_1311,45.985053,-17.067958
1312,boiviniana_1312,49.35,-12.33
1313,grevei_1313,44.348875,-23.874729
1314,boiviniana_1314,49.39833,-12.388317
1315,decaryana_1315,49.16667,-12.95
1316,dubardii_1316,49.16667,-12.95
1317,dubardii_1317,49.16667,-12.95
1318,mogenetii_1318,49.16667,-12.51667
1319,bissetiae_1319,46.820657,-16.234735
1320,boinensis_1320,46.778291,-16.139983
1321,tsirananae_1321,49.371244,-12.226533
1322,heimii_1322,49.263119,-12.279828
1323,boiviniana_1323,47.348442,-16.02418
1324,bissetiae_1324,46.474407,-15.428146
1328,tsirananae_1328,47.863972,-21.382389
1331,tricalysioides_1331,47.867944,-21.374861
1336,sambavensis_1336,47.867861,-21.377889
1337,sambavensis_1337,50.090278,-13.712778
1338,resinosa_1338,49.681278,-16.867389
1349,perrieri_1349,47.863972,-21.382389
1354,minutiflora_1354,47.867861,-21.377889
1359,eugenioides_1359,47.863972,-21.382389
1372,heimii_1372,47.863972,-21.382389
1376,jumellei_1376,47.863972,-21.382389
1378,homollei_1378,47.863972,-21.382389
1382,homollei_1382,47.863972,-21.382389
1383,dubardii_1383,47.863972,-21.382389
1389,arenesiana_1389,47.863972,-21.382389
1393,ankaranensis_1393,47.863972,-21.382389
1396,vohemarensis_1396,47.867861,-21.377889
1397,vianneyi_1397,47.863972,-21.382389
1398,vianneyi_1398,47.867861,-21.377889
1401,sambavensis_1401,50.099889,-13.720722
1406,sambavensis_1406,47.863972,-21.382389
1408,sakarahae_1408,47.863972,-21.382389
1413,sahafaryensis_1413,47.863972,-21.382389
1420,tetragona_1420,47.863972,-21.382389
1422,richardii_1422,47.863972,-21.382389
1423,richardii_1423,47.872778,-21.385167
1428,richardii_1428,49.256667,-18.565556
1434,resinosa_1434,48.605833,-20.359444
1435,resinosa_1435,47.727056,-23.013667
1436,sambavensis_1436,50.097778,-13.718056
1441,minutiflora_1441,47.863972,-21.382389
1442,resinosa_1442,48.482222,-20.801944
1443,resinosa_1443,49.234,-18.595139
1445,millotii_1445,47.867861,-21.377889
1447,millotii_1447,47.867861,-21.377889
1448,millotii_1448,47.867861,-21.377889
1449,millotii_1449,47.863972,-21.382389
1450,millotii_1450,47.863972,-21.382389
1451,millotii_1451,47.863972,-21.382389
1452,millotii_1452,47.863972,-21.382389
1460,resinosa_1460,48.554167,-20.3725
1467,mangoroensis_1467,47.871056,-21.377389
1477,lancifolia_1477,47.863972,-21.382389
1478,humbertii_1478,44.681028,-22.878083
1479,perrieri_1479,47.863972,-21.382389
1484,resinosa_1484,49.706111,-16.760556
1487,humbertii_1487,44.681028,-22.878083
1518,farafanganensis_1518,47.866667,-21.385167
1519,farafanganensis_1519,47.863972,-21.382389
1523,coursiana_1523,47.863972,-21.382389
1547,bonnieri_1547,47.863972,-21.382389
1551,bertrandii_1551,47.87025,-21.377056
1555,augagneuri_1555,47.863972,-21.382389
1559,boiviniana_1559,47.863972,-21.382389
1562,abbayesii_1562,47.867861,-21.377889
1570,abbayesii_1570,47.863972,-21.382389
1571,boiviniana_1571,45.883351,-17.069855
1572,sakarahae_1572,44.13667,-22.68333
1573,perrieri_1573,45.989,-17.06269
1574,boiviniana_1574,45.893891,-17.154961
1578,liaudii_1578,47.023333,-17.837778
1579,bissetiae_1579,47.709321,-14.999613
1580,boiviniana_1580,47.241667,-16.021247
1581,boiviniana_1581,47.300588,-16.090702
1584,mcphersonii_1584,49.351671,-12.388863
1585,heimii_1585,49.347115,-12.210881
