,specimen_id,longitude,latitude
545,commersoniana_545,47.001389,-24.9575
546,resinosa_546,49.70611,-16.76055
549,vohemarensis_549,49.810556,-13.593055
550,resinosa_550,47.724167,-23.170278
556,millotii_556,49.861111,-14.401111
557,perrieri_557,44.272222,-22.853611
558,perrieri_558,44.263056,-22.845833
559,leroyi_559,50.074722,-14.186667
560,canephora_560,50.133333,-14.621944
561,leroyi_561,48.76777,-17.50694
562,buxifolia_562,46.77527,-20.51194
565,resinosa_565,49.256667,-18.565556
566,resinosa_566,49.23388,-18.595
567,tsirananae_567,49.35305,-12.37361
569,resinosa_569,49.405833,-17.688889
570,bissetiae_570,45.8,-16.05
571,richardii_571,49.45833,-17.70305
572,humbertii_572,43.625806,-23.250722
575,richardii_575,50.016389,-14.101111
576,coursiana_576,48.553056,-19.164722
577,microdubardii_577,49.56,-13.21
579,tsirananae_579,49.218611,-12.165556
580,tetragona_580,48.80222,-13.79638
581,microdubardii_581,49.56,-13.21
582,tsirananae_582,49.218611,-12.165556
586,richardii_586,49.318056,-17.913889
587,richardii_587,49.21,-18.006389
588,richardii_588,49.459444,-17.705556
593,dubardii_593,49.174722,-12.482778
594,moratii_594,44.559167,-18.121944
595,abbayesii_595,46.45,-24.36666
596,homollei_596,48.73111,-17.50388
597,richardii_597,49.340278,-18.057222
598,resinosa_598,48.554167,-20.3725
599,sakarahae_599,44.136667,-22.683333
601,richardii_601,49.2425,-18.040833
602,perrieri_602,44.145556,-22.707778
603,grevei_603,44.483333,-20.166667
604,kalobinonensis_604,48.67,-13.65
608,tricalysioides_608,49.153889,-12.6025
609,pervilleana_609,44.561389,-18.117778
610,perrieri_610,44.472222,-17.939722
611,boiviniana_611,49.2875,-12.899444
613,dubardii_613,49.218333,-12.578889
614,tricalysioides_614,49.152222,-12.583611
617,commersoniana_617,46.86527,-25.05527
618,bissetiae_618,46.81,-16.33
619,moratii_619,44.559167,-18.121944
620,perrieri_620,44.561944,-18.111389
625,vohemarensis_625,49.810556,-13.593055
626,richardii_626,49.308889,-17.956667
627,richardii_627,50.0,-14.1
628,toshii_628,46.955,-22.496667
629,heimii_629,49.583333,-12.970278
630,richardii_630,49.25666,-18.56555
632,sakarahae_632,44.150278,-22.704444
633,sakarahae_633,44.158889,-22.687222
635,toshii_635,46.955,-22.496667
