,env_71_alt,env_72_slo,env_73_asp,env_74_solrad,env_75_geo,env_76_soi,env_77_veg,env_78_wat,env_79_forcov,caffeine_class
85,1026.0,4.0,147.0,7417.0,9.0,18.0,9,6.0,51.0,Absent
86,71.0,5.0,143.0,7600.0,9.0,18.0,6,8.0,0.0,Absent
87,299.0,18.0,123.0,7208.0,5.0,23.0,5,1.0,40.0,Absent
88,259.0,8.0,208.0,7361.0,7.0,16.0,6,8.0,62.0,Low
89,95.0,9.0,201.0,7586.0,10.0,10.0,6,1.0,6.0,Absent
90,122.0,7.0,58.0,7938.0,6.0,18.0,7,10.0,72.0,Low
91,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0,Absent
92,163.0,21.0,316.0,7862.0,10.0,10.0,16,2.0,19.0,Low
93,110.0,15.0,119.0,6517.0,10.0,15.0,7,5.0,88.0,Absent
94,13.0,0.0,243.0,7514.0,2.0,21.0,15,3.0,90.0,Absent
95,55.0,6.0,277.0,7692.0,10.0,10.0,16,2.0,0.0,Low
96,163.0,21.0,316.0,7862.0,10.0,10.0,16,2.0,19.0,Low
97,177.0,11.0,154.0,6728.0,10.0,6.0,12,6.0,82.0,Absent
98,13.0,0.0,308.0,7382.0,9.0,21.0,15,4.0,12.0,Absent
99,13.0,0.0,308.0,7382.0,9.0,21.0,15,4.0,12.0,Absent
100,308.0,23.0,156.0,5548.0,10.0,9.0,14,5.0,90.0,Absent
101,122.0,7.0,58.0,7938.0,6.0,18.0,7,10.0,72.0,Low
102,37.0,3.0,221.0,7501.0,10.0,10.0,7,2.0,0.0,Low
103,244.0,9.0,150.0,7596.0,10.0,6.0,14,1.0,17.0,Low
104,82.0,13.0,272.0,7765.0,6.0,23.0,5,12.0,17.0,Absent
105,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0,Absent
106,206.0,20.0,187.0,6815.0,10.0,6.0,14,1.0,74.0,Low
107,49.0,7.0,170.0,7377.0,10.0,10.0,4,2.0,67.0,Absent
108,251.0,3.0,268.0,7940.0,6.0,17.0,6,1.0,21.0,Absent
109,1466.0,14.0,162.0,7496.0,10.0,9.0,14,14.0,100.0,Low
110,13.0,3.0,324.0,7458.0,9.0,21.0,4,4.0,51.0,Absent
111,160.0,11.0,284.0,7929.0,6.0,20.0,5,1.0,55.0,Absent
112,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0,Absent
113,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
115,2.0,0.0,137.0,7490.0,2.0,21.0,16,3.0,14.0,Absent
116,177.0,11.0,154.0,6728.0,10.0,6.0,12,6.0,82.0,Absent
117,136.0,5.0,287.0,7919.0,7.0,22.0,5,13.0,44.0,Absent
118,8.0,1.0,275.0,7513.0,2.0,21.0,15,3.0,55.0,Absent
119,135.0,1.0,184.0,7371.0,5.0,15.0,7,6.0,30.0,Absent
120,98.0,4.0,52.0,7811.0,9.0,18.0,5,8.0,49.0,Absent
121,427.0,13.0,161.0,6633.0,9.0,22.0,7,6.0,0.0,Absent
