,env_71_alt,env_72_slo,env_73_asp,env_74_solrad,env_75_geo,env_76_soi,env_77_veg,env_78_wat,env_79_forcov,caffeine_class
359,31.0,5.0,180.0,7633.0,10.0,19.0,16,2.0,5.0,Low
360,1129.0,7.0,267.0,8105.0,9.0,18.0,14,12.0,100.0,Absent
361,183.0,13.0,257.0,7597.0,10.0,10.0,16,2.0,8.0,Low
362,184.0,7.0,303.0,7773.0,10.0,10.0,16,2.0,2.0,Low
363,270.0,13.0,161.0,7330.0,10.0,11.0,16,2.0,2.0,Low
364,254.0,13.0,125.0,7332.0,10.0,11.0,4,2.0,0.0,Absent
365,906.0,10.0,264.0,7553.0,9.0,18.0,22,6.0,100.0,Absent
366,19.0,1.0,111.0,7712.0,1.0,19.0,16,2.0,99.0,Absent
367,299.0,18.0,123.0,7208.0,5.0,23.0,5,1.0,40.0,Absent
368,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0,Absent
369,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0,Absent
370,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0,Absent
371,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0,Absent
372,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0,Absent
373,226.0,7.0,256.0,7610.0,7.0,16.0,5,8.0,83.0,Absent
374,259.0,8.0,208.0,7361.0,7.0,16.0,6,8.0,62.0,Low
375,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0,Absent
376,98.0,2.0,10.0,7681.0,10.0,10.0,16,2.0,0.0,Low
377,163.0,21.0,316.0,7862.0,10.0,10.0,16,2.0,19.0,Low
378,50.0,4.0,131.0,7600.0,10.0,10.0,16,2.0,0.0,Low
379,1016.0,8.0,0.0,7730.0,10.0,7.0,14,2.0,96.0,Absent
380,1023.0,7.0,179.0,7592.0,10.0,9.0,14,2.0,60.0,Absent
381,199.0,5.0,141.0,7620.0,9.0,18.0,5,8.0,71.0,Absent
382,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0,Absent
383,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0,Absent
384,281.0,11.0,62.0,7842.0,6.0,20.0,6,1.0,1.0,Absent
385,648.0,26.0,177.0,7594.0,10.0,9.0,14,1.0,90.0,Absent
388,113.0,3.0,40.0,7977.0,9.0,23.0,6,1.0,0.0,Absent
391,67.0,1.0,10.0,7936.0,7.0,17.0,6,12.0,0.0,Absent
392,263.0,12.0,291.0,7963.0,5.0,23.0,5,1.0,55.0,Absent
393,82.0,8.0,100.0,7834.0,6.0,23.0,6,12.0,3.0,Absent
394,82.0,10.0,57.0,7971.0,6.0,23.0,7,1.0,12.0,Absent
395,255.0,11.0,36.0,8066.0,6.0,20.0,7,1.0,2.0,Absent
396,44.0,6.0,241.0,7877.0,7.0,23.0,7,1.0,0.0,Absent
398,648.0,26.0,177.0,7594.0,10.0,9.0,14,1.0,90.0,Absent
399,1090.0,14.0,214.0,7244.0,10.0,9.0,14,2.0,100.0,Low
400,1090.0,14.0,214.0,7244.0,10.0,9.0,14,2.0,100.0,Low
402,14.0,2.0,294.0,7863.0,2.0,16.0,5,1.0,3.0,Absent
405,19.0,3.0,351.0,7932.0,6.0,19.0,7,11.0,13.0,Absent
406,1009.0,4.0,276.0,7805.0,11.0,7.0,14,2.0,66.0,Absent
407,19.0,3.0,351.0,7932.0,6.0,19.0,7,11.0,13.0,Absent
408,338.0,19.0,282.0,7315.0,10.0,9.0,14,5.0,99.0,Absent
409,113.0,0.0,210.0,7380.0,2.0,15.0,11,6.0,100.0,Absent
410,142.0,2.0,206.0,7872.0,9.0,8.0,7,12.0,13.0,Absent
411,142.0,2.0,206.0,7872.0,9.0,8.0,7,12.0,13.0,Absent
412,51.0,8.0,26.0,8001.0,7.0,23.0,7,12.0,0.0,Absent
413,142.0,2.0,206.0,7872.0,9.0,8.0,7,12.0,13.0,Absent
415,85.0,3.0,189.0,7598.0,10.0,11.0,16,2.0,1.0,Low
417,32.0,2.0,15.0,7726.0,10.0,10.0,16,2.0,0.0,Low
418,46.0,3.0,205.0,7699.0,10.0,10.0,16,2.0,1.0,Low
419,42.0,1.0,320.0,7739.0,6.0,18.0,6,20.0,0.0,Absent
420,971.0,2.0,202.0,7838.0,10.0,9.0,16,2.0,0.0,Absent
421,15.0,1.0,269.0,7648.0,10.0,10.0,1,2.0,0.0,Low
423,91.0,2.0,115.0,7232.0,10.0,6.0,12,6.0,100.0,Absent
425,43.0,1.0,213.0,7618.0,2.0,16.0,5,8.0,13.0,Absent
426,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
427,143.0,10.0,274.0,7580.0,10.0,10.0,14,2.0,99.0,Low
428,427.0,13.0,161.0,6633.0,9.0,22.0,7,6.0,0.0,Absent
429,206.0,20.0,187.0,6815.0,10.0,6.0,14,1.0,74.0,Low
430,233.0,2.0,235.0,7307.0,9.0,6.0,12,6.0,99.0,Absent
431,55.0,6.0,277.0,7692.0,10.0,10.0,16,2.0,0.0,Low
432,13.0,3.0,324.0,7458.0,9.0,21.0,4,4.0,51.0,Absent
433,12.0,2.0,276.0,7297.0,9.0,19.0,16,4.0,0.0,Absent
434,160.0,11.0,284.0,7929.0,6.0,20.0,5,1.0,55.0,Absent
435,82.0,13.0,272.0,7765.0,6.0,23.0,5,12.0,17.0,Absent
436,199.0,5.0,141.0,7620.0,9.0,18.0,5,8.0,71.0,Absent
437,98.0,4.0,52.0,7811.0,9.0,18.0,5,8.0,49.0,Absent
438,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
439,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0,Absent
440,277.0,11.0,175.0,7910.0,6.0,20.0,7,1.0,33.0,Absent
441,136.0,5.0,287.0,7919.0,7.0,22.0,5,13.0,44.0,Absent
442,251.0,3.0,268.0,7940.0,6.0,17.0,6,1.0,21.0,Absent
443,1438.0,5.0,319.0,8187.0,10.0,9.0,6,14.0,59.0,Low
444,1466.0,14.0,162.0,7496.0,10.0,9.0,14,14.0,100.0,Low
445,1084.0,15.0,332.0,8277.0,10.0,9.0,14,14.0,85.0,Low
446,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
447,50.0,5.0,147.0,7457.0,10.0,19.0,14,2.0,59.0,Low
448,135.0,1.0,184.0,7371.0,5.0,15.0,7,6.0,30.0,Absent
450,91.0,4.0,239.0,7837.0,6.0,23.0,6,12.0,4.0,Absent
451,1009.0,4.0,276.0,7805.0,11.0,7.0,14,2.0,66.0,Absent
452,1023.0,7.0,179.0,7592.0,10.0,9.0,14,2.0,60.0,Absent
453,408.0,1.0,307.0,7430.0,10.0,6.0,7,6.0,0.0,Absent
455,5.0,1.0,2.0,7543.0,6.0,19.0,16,3.0,1.0,Absent
456,46.0,8.0,263.0,7236.0,9.0,21.0,16,4.0,0.0,Absent
457,13.0,1.0,213.0,7688.0,1.0,21.0,16,2.0,59.0,Absent
458,306.0,16.0,329.0,8089.0,10.0,11.0,14,2.0,97.0,Absent
460,8.0,3.0,292.0,7574.0,1.0,21.0,16,3.0,32.0,Absent
461,14.0,1.0,234.0,7606.0,2.0,21.0,15,2.0,24.0,Absent
462,900.0,0.0,290.0,7891.0,10.0,9.0,16,2.0,13.0,Low
463,1332.0,16.0,290.0,7945.0,10.0,9.0,14,2.0,99.0,Low
465,13.0,1.0,213.0,7688.0,1.0,21.0,16,2.0,59.0,Absent
466,14.0,1.0,351.0,7722.0,10.0,21.0,16,2.0,28.0,Absent
467,1090.0,14.0,214.0,7244.0,10.0,9.0,14,2.0,100.0,Low
468,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
469,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
470,1026.0,4.0,147.0,7417.0,9.0,18.0,9,6.0,51.0,Absent
471,69.0,5.0,240.0,7673.0,10.0,10.0,16,1.0,22.0,Low
472,95.0,9.0,201.0,7586.0,10.0,10.0,6,1.0,6.0,Absent
473,122.0,7.0,58.0,7938.0,6.0,18.0,7,10.0,72.0,Low
474,839.0,18.0,339.0,7857.0,10.0,9.0,14,1.0,100.0,Absent
475,106.0,6.0,177.0,7588.0,10.0,10.0,16,1.0,2.0,Low
476,244.0,9.0,150.0,7596.0,10.0,6.0,14,1.0,17.0,Low
477,5.0,3.0,120.0,7187.0,2.0,21.0,7,5.0,7.0,Absent
479,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0,Absent
480,308.0,23.0,156.0,5548.0,10.0,9.0,14,5.0,90.0,Absent
481,37.0,3.0,221.0,7501.0,10.0,10.0,7,2.0,0.0,Low
482,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
483,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
484,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
485,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
486,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
487,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
488,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
489,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
490,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
491,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
492,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Low
493,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
494,201.0,15.0,48.0,7777.0,10.0,11.0,16,3.0,0.0,Absent
495,1174.0,8.0,338.0,7929.0,10.0,9.0,14,15.0,33.0,Absent
496,410.0,24.0,157.0,6554.0,10.0,9.0,14,14.0,100.0,Absent
497,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0,Absent
498,261.0,13.0,7.0,8107.0,10.0,6.0,14,1.0,87.0,Low
499,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0,Absent
500,206.0,20.0,187.0,6815.0,10.0,6.0,14,1.0,74.0,Low
501,110.0,15.0,119.0,6517.0,10.0,15.0,7,5.0,88.0,Absent
502,635.0,6.0,56.0,7812.0,10.0,11.0,14,2.0,56.0,Low
503,177.0,11.0,154.0,6728.0,10.0,6.0,12,6.0,82.0,Absent
504,1252.0,1.0,289.0,7911.0,1.0,10.0,4,20.0,0.0,Absent
505,229.0,2.0,10.0,7708.0,6.0,16.0,6,8.0,3.0,Low
506,143.0,1.0,312.0,7389.0,6.0,16.0,12,6.0,88.0,Absent
507,229.0,2.0,10.0,7708.0,6.0,16.0,6,8.0,3.0,Absent
508,55.0,4.0,111.0,7729.0,6.0,18.0,5,22.0,29.0,Low
509,267.0,13.0,176.0,7291.0,6.0,18.0,14,10.0,96.0,Low
510,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0,Absent
511,259.0,8.0,208.0,7361.0,7.0,16.0,6,8.0,62.0,Low
512,86.0,3.0,355.0,7783.0,9.0,18.0,6,8.0,0.0,Absent
513,226.0,7.0,256.0,7610.0,7.0,16.0,5,8.0,83.0,Absent
514,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0,Absent
515,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0,Absent
516,198.0,13.0,111.0,7457.0,10.0,11.0,14,2.0,84.0,Absent
517,32.0,5.0,98.0,7645.0,10.0,10.0,4,2.0,0.0,Low
518,908.0,18.0,148.0,7058.0,10.0,9.0,14,2.0,85.0,Low
519,908.0,18.0,148.0,7058.0,10.0,9.0,14,2.0,85.0,Absent
520,544.0,5.0,201.0,7607.0,10.0,10.0,7,17.0,0.0,Absent
521,544.0,5.0,201.0,7607.0,10.0,10.0,7,17.0,0.0,Absent
522,40.0,7.0,292.0,7875.0,6.0,18.0,5,11.0,39.0,Absent
523,171.0,8.0,36.0,7888.0,10.0,9.0,6,1.0,24.0,Absent
524,171.0,8.0,36.0,7888.0,10.0,9.0,6,1.0,24.0,Absent
525,578.0,2.0,316.0,7581.0,6.0,16.0,6,6.0,0.0,Absent
