,specimen_id,longitude,latitude
556, millotii J.-F. Leroy_556,49.861111,-14.401111
557, perrieri Drake ex Jum. & H. Perrier_557,44.272222,-22.853611
558, perrieri Drake ex Jum. & H. Perrier_558,44.263056,-22.845833
559, leroyi A.P. Davis_559,50.074722,-14.186667
560, canephora Pierre ex A. Froehner_560,50.133333,-14.621944
561, leroyi A.P. Davis_561,48.76777,-17.50694
562, buxifolia A. Chev._562,46.77527,-20.51194
565, resinosa (Hook. f.) Radlk._565,49.256667,-18.565556
566, resinosa (Hook. f.) Radlk._566,49.23388,-18.595
567, tsirananae J.-F. Leroy_567,49.35305,-12.37361
569, resinosa (Hook. f.) Radlk._569,49.405833,-17.688889
570, bissetiae A.P. Davis & Rakotonas._570,45.8,-16.05
571, richardii J.-F. Leroy_571,49.45833,-17.70305
572, humbertii J.-F. Leroy_572,43.625806,-23.250722
575, richardii J.-F. Leroy_575,50.016389,-14.101111
576, coursiana J.-F. Leroy_576,48.553056,-19.164722
577, microdubardii A.P. Davis & Rakotonas._577,49.56,-13.21
579, tsirananae J.-F. Leroy_579,49.218611,-12.165556
580, tetragona Jum. & H. Perrier_580,48.80222,-13.79638
581, microdubardii A.P. Davis & Rakotonas._581,49.56,-13.21
582, tsirananae J.-F. Leroy_582,49.218611,-12.165556
586, richardii J.-F. Leroy_586,49.318056,-17.913889
587, richardii J.-F. Leroy_587,49.21,-18.006389
588, richardii J.-F. Leroy_588,49.459444,-17.705556
593, dubardii Jum._593,49.174722,-12.482778
594, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._594,44.559167,-18.121944
595, abbayesii J.-F. Leroy_595,46.45,-24.36666
596, homollei J.-F. Leroy_596,48.73111,-17.50388
597, richardii J.-F. Leroy_597,49.340278,-18.057222
598, resinosa (Hook. f.) Radlk._598,48.554167,-20.3725
599, sakarahae J.-F. Leroy_599,44.136667,-22.683333
601, richardii J.-F. Leroy_601,49.2425,-18.040833
602, perrieri Drake ex Jum. & H. Perrier_602,44.145556,-22.707778
603, grevei Drake ex A. Chev._603,44.483333,-20.166667
604, kalobinonensis A.P. Davis & Rakotonas._604,48.67,-13.65
608, tricalysioides J.-F. Leroy_608,49.153889,-12.6025
609, pervilleana (Baill.) Drake_609,44.561389,-18.117778
610, perrieri Drake ex Jum. & H. Perrier_610,44.472222,-17.939722
611, boiviniana (Baill.) Drake_611,49.2875,-12.899444
613, dubardii Jum._613,49.218333,-12.578889
614, tricalysioides J.-F. Leroy_614,49.152222,-12.583611
617, commersoniana (Baill.) A. Chev._617,46.86527,-25.05527
618, bissetiae A.P. Davis & Rakotonas._618,46.81,-16.33
619, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._619,44.559167,-18.121944
620, perrieri Drake ex Jum. & H. Perrier_620,44.561944,-18.111389
625, vohemarensis A.P. Davis & Rakotonas._625,49.810556,-13.593055
626, richardii J.-F. Leroy_626,49.308889,-17.956667
627, richardii J.-F. Leroy_627,50.0,-14.1
628, toshii A.P. Davis & Rakotonas._628,46.955,-22.496667
629, heimii J.-F. Leroy_629,49.583333,-12.970278
630, richardii J.-F. Leroy_630,49.25666,-18.56555
632, sakarahae J.-F. Leroy_632,44.150278,-22.704444
633, sakarahae J.-F. Leroy_633,44.158889,-22.687222
635, toshii A.P. Davis & Rakotonas._635,46.955,-22.496667
636, mangoroensis Portères_636,48.424445,-18.925
637, mangoroensis Portères_637,48.428333,-18.950556
638, bonnieri Dubard_638,48.08,-13.75
639, arabica L._639,49.618889,-14.613056
640, sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._640,49.965833,-14.152778
641, boiviniana (Baill.) Drake_641,45.341667,-16.461111
644, humbertii J.-F. Leroy_644,43.625806,-23.250722
