specimen_id,latitude,longitude
Coffea_abbayesii,-24.36666,46.45
Coffea_abbayesii,-24.73,46.83
Coffea_abbayesii,-24.7333,46.8333
Coffea_abbayesii,-24.66667,46.83333
Coffea_abbayesii,-24.733333,46.833333
Coffea_abbayesii,-24.8,46.85
Coffea_abbayesii,-24.760833,46.863333
Coffea_abbayesii,-24.836667,46.962222
Coffea_abbayesii,-24.842778,47.136111
Coffea_abbayesii,-24.835833,47.136667
Coffea_abbayesii,-24.835216,47.1401
Coffea_abbayesii,-24.796389,47.166111
Coffea_abbayesii,-21.3825,47.863889
Coffea_abbayesii,-21.383333,47.866667
Coffea_abbayesii,-21.377889,47.867861
Coffea_ambanjensis,-14.06667,48.28333
Coffea_ambanjensis,-14.066667,48.283333
Coffea_ambanjensis,-13.783333,48.316667
Coffea_ambanjensis,-13.820833,48.317778
Coffea_ambanjensis,-13.838611,48.3225
Coffea_ambanjensis,-13.8,48.33333
Coffea_ambongensis,-16.15,45.25
Coffea_ambongensis,-16.121389,45.335
Coffea_ambongensis,-16.12,45.34
Coffea_ambongensis,-15.577499,46.416667
Coffea_ambongensis,-15.5775,46.416667
Coffea_ambongensis,-15.5775,46.41667
Coffea_ambongensis,-15.57528,46.41833
Coffea_ambongensis,-15.575,46.418333
Coffea_ambongensis,-15.575277,46.418333
Coffea_ambongensis,-15.575278,46.418333
Coffea_ambongensis,-15.575278,46.418611
Coffea_ambongensis,-15.58,46.42
Coffea_ambongensis,-15.218889,47.135
Coffea_ambongensis,-15.03556,47.81083
Coffea_andrambovatensis,-21.516667,47.75
Coffea_andrambovatensis,-21.525,47.758333
Coffea_andrambovatensis,-21.383333,47.866667
Coffea_ankaranensis,-21.383333,47.866667
Coffea_ankaranensis,-12.7,49.13333
Coffea_ankaranensis,-12.9,49.13333
Coffea_ankaranensis,-12.783333,49.15
Coffea_ankaranensis,-12.883333,49.2
Coffea_ankaranensis,-12.916667,49.2
Coffea_ankaranensis,-12.91666,49.21666
Coffea_ankaranensis,-12.9,49.216667
Coffea_ankaranensis,-12.876667,49.220278
Coffea_ankaranensis,-12.45,49.266667
Coffea_ankaranensis,-12.220198,49.394219
Coffea_anthonyi,3.183333,12.55
Coffea_anthonyi,1.733333,12.866667
Coffea_anthonyi,1.73333,12.86667
Coffea_anthonyi,4.58,13.68
Coffea_anthonyi,4.583333,13.683333
Coffea_anthonyi,4.58333,13.73333
Coffea_anthonyi,4.7,13.816667
Coffea_anthonyi,4.7,13.83333
Coffea_anthonyi,4.7,13.833333
Coffea_anthonyi,2.116667,14.0
Coffea_anthonyi,2.05,14.133333
Coffea_arenesiana,-18.939287,47.5331
Coffea_arenesiana,-18.919722,47.928889
Coffea_arenesiana,-18.883333,48.033333
Coffea_arenesiana,-19.177222,48.216667
Coffea_arenesiana,-19.177222,48.228611
Coffea_arenesiana,-19.120401,48.254139
Coffea_arenesiana,-18.95,48.275
