specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,specimen_name,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
bertrandii_93,4326,46.66666,-25.03333,POINT (668152.1082198943 7230326.594352566),9,0,False,Coffea_bertrandii,72.0,9.0,189.0,6765.0,10.0,9.0,7.0,5.0,20.0
bertrandii_94,4326,46.674722,-25.122222,POINT (668843.6342847437 7220470.852634992),9,0,False,Coffea_bertrandii,110.0,15.0,119.0,6517.0,10.0,15.0,7.0,5.0,88.0
bertrandii_95,4326,46.68333,-25.06667,POINT (669788.333901034 7226613.03440059),9,0,False,Coffea_bertrandii,51.0,7.0,9.0,7562.0,10.0,10.0,7.0,5.0,29.0
bertrandii_96,4326,46.683333,-25.066667,POINT (669788.640688142 7226613.362913565),9,0,False,Coffea_bertrandii,51.0,7.0,9.0,7562.0,10.0,10.0,7.0,5.0,29.0
bertrandii_97,4326,46.75833,-25.15,POINT (677234.4440133531 7217286.77883262),9,0,False,Coffea_bertrandii,32.0,5.0,284.0,7298.0,1.0,21.0,4.0,5.0,3.0
bertrandii_98,4326,47.866667,-21.383333,POINT (797253.6520891015 7632714.03380194),9,0,False,Coffea_bertrandii,78.0,6.0,11.0,7706.0,10.0,11.0,16.0,3.0,0.0
dubardii_974,4326,44.732222,-16.931667,POINT (471486.44712923677 8127984.871431336),9,0,False,Coffea_dubardii,98.0,4.0,52.0,7811.0,9.0,18.0,5.0,8.0,49.0
dubardii_975,4326,44.749166,-16.958611,POINT (473294.49236259685 8125006.5619353615),9,0,False,Coffea_dubardii,199.0,5.0,141.0,7620.0,9.0,18.0,5.0,8.0,71.0
dubardii_976,4326,44.749167,-16.958611,POINT (473294.59883002134 8125006.562071315),9,0,False,Coffea_dubardii,199.0,5.0,141.0,7620.0,9.0,18.0,5.0,8.0,71.0
dubardii_977,4326,47.233333,-15.066667,POINT (740078.3644282935 8333083.596531117),9,0,False,Coffea_dubardii,49.0,5.0,227.0,7632.0,5.0,20.0,5.0,9.0,62.0
dubardii_978,4326,47.266667,-15.016667,POINT (743720.1593233433 8338580.996401502),9,0,False,Coffea_dubardii,7.0,2.0,135.0,7768.0,5.0,20.0,3.0,9.0,72.0
