specimen_id,latitude,longitude
C_heimii_A516_13,-12.37361,49.35305
C_heimii_A516_14,-12.322474,49.387585
C_heimii_A516_15,-12.38876,49.398762
C_heimii_A516_16,-12.56666,49.43333
C_heimii_A516_17,-12.566667,49.433333
C_heimii_A516_18,-12.278797,49.435269
C_heimii_A516_19,-12.593611,49.442777
C_heimii_A516_20,-12.58472,49.45611
C_heimii_A516_21,-12.580463,49.549809
C_heimii_A516_22,-12.454103,49.569592
C_heimii_A516_23,-12.970278,49.583333
C_homollei_A945_1,-21.3825,47.863889
C_homollei_A945_2,-21.383333,47.866667
C_homollei_A945_3,-19.163056,48.581389
C_homollei_A945_4,-17.50388,48.73111
C_homollei_A945_5,-17.503889,48.731111
C_homollei_A945_6,-17.916667,49.2
C_homollei_A945_7,-17.931667,49.203333
C_homollei_A945_8,-16.8625,49.26694
C_homollei_A945_9,-16.8625,49.266944
C_humbertii_RNF785_1,-23.078725,43.610638
C_humbertii_RNF785_2,-23.250722,43.625805
C_humbertii_RNF785_3,-23.250722,43.625806
C_humbertii_RNF785_4,-23.066388,43.665555
C_humbertii_RNF785_5,-23.002222,43.714444
C_humbertii_RNF785_6,-23.451389,43.784722
C_humbertii_RNF785_7,-22.875,43.7975
C_humbertii_RNF785_8,-23.2,43.916667
C_humbertii_RNF785_9,-23.26667,43.98333
C_humbertii_RNF785_10,-23.266667,43.983333
C_humbertii_RNF785_11,-23.266667,43.983334
C_humbertii_RNF785_12,-23.216667,44.033333
C_humbertii_RNF785_13,-23.188611,44.0525
C_humbertii_RNF785_14,-23.186389,44.052778
C_humbertii_RNF785_15,-23.133333,44.1
C_humbertii_RNF785_16,-23.5318,44.1366
C_humbertii_RNF785_17,-23.526389,44.155
C_humbertii_RNF785_18,-23.88333,44.28333
C_humbertii_RNF785_19,-23.883333,44.283333
C_humbertii_RNF785_20,-23.883334,44.283333
C_humbertii_RNF785_21,-23.733333,44.35
C_humbertii_RNF785_22,-23.733333,44.383333
C_humbertii_RNF785_23,-23.833333,44.4
C_humbertii_RNF785_24,-22.92,44.58
C_humbertii_RNF785_25,-22.916667,44.583333
C_humbertii_RNF785_26,-23.650485,44.632515
C_humbertii_RNF785_27,-23.66666,44.63333
C_humbertii_RNF785_28,-23.666667,44.633333
C_humbertii_RNF785_29,-23.66666,44.65
C_humbertii_RNF785_30,-22.83,44.68
C_humbertii_RNF785_31,-22.88,44.68
C_humbertii_RNF785_32,-22.878083,44.681028
C_humbertii_RNF785_33,-22.783333,44.683333
C_humbertii_RNF785_34,-22.888583,44.690055
C_humbertii_RNF785_35,-22.7,44.7
C_humbertii_RNF785_36,-20.166667,45.1
C_humbertii_RNF785_37,-20.183333,45.116667
C_kianjavatensis_A602_1,-21.383333,47.85
C_kianjavatensis_A602_2,-21.38028,47.85861
C_kianjavatensis_A602_3,-21.383333,47.866667
C_kianjavatensis_A602_4,-21.388333,47.939444
C_lancifolia_A320_1,-21.383333,47.866667
C_lancifolia_A320_2,-17.931666,49.203333
C_lancifolia_A320_3,-17.931667,49.203333
C_leroyi_A315_1,-23.25,44.01667
C_leroyi_A315_2,-21.283333,47.65
C_leroyi_A315_3,-21.38333,47.86666
C_leroyi_A315_4,-21.383333,47.866667
C_leroyi_A315_5,-21.375,47.867778
C_leroyi_A315_6,-17.54222,48.72222
C_leroyi_A315_7,-17.484167,48.746667
C_leroyi_A315_8,-17.50694,48.76777
C_leroyi_A315_9,-14.33666,49.28583
C_leroyi_A315_10,-14.325556,49.301389
C_leroyi_A315_11,-14.30166,49.31111
C_leroyi_A315_12,-14.61111,49.40333
C_leroyi_A315_13,-14.58777,49.68888
C_leroyi_A315_14,-14.58778,49.68889
C_millotii_A222_1,-23.0,47.0
C_millotii_A222_2,-21.3825,47.863889
C_millotii_A222_3,-21.383333,47.866667
C_millotii_A222_4,-21.376389,47.867222
C_millotii_A222_5,-21.375833,47.8675
C_millotii_A222_6,-21.375278,47.868333
C_millotii_A222_7,-21.376944,47.870278
C_millotii_A222_8,-21.402778,47.941111
C_millotii_A222_9,-21.406944,47.9425
C_millotii_A222_10,-18.866111,48.292499
C_millotii_A222_11,-18.86611,48.2925
C_millotii_A222_12,-18.86944,48.31888
C_millotii_A222_13,-18.869444,48.318888
C_millotii_A222_14,-19.158611,48.556111
C_millotii_A222_15,-17.53333,48.88333
C_millotii_A222_16,-17.53333,48.89306
C_millotii_A222_17,-18.036111,49.198056
C_millotii_A222_18,-17.93167,49.20333
C_millotii_A222_19,-17.931667,49.203333
C_millotii_A222_20,-14.7,49.45
C_millotii_A222_21,-17.704817,49.45445
C_millotii_A222_22,-13.218889,49.550833
C_millotii_A222_23,-15.433333,49.733333
C_millotii_A222_24,-15.48333,49.75
C_millotii_A222_25,-15.5,49.76666
C_millotii_A222_26,-15.5,49.766667
C_millotii_A222_27,-15.4944,49.7694
C_millotii_A222_28,-16.4525,49.786667
C_millotii_A222_29,-16.474388,49.7904
C_millotii_A222_30,-14.401111,49.861111
C_millotii_A222_31,-15.41666,49.86666
C_millotii_A222_32,-15.066667,49.95
C_millotii_A222_33,-15.61666,49.96666
C_millotii_A222_34,-15.68333,49.96666
C_millotii_A222_35,-15.62083,49.98194
C_millotii_A222_36,-15.80555,50.20694
C_millotii_A222_37,-15.6925,50.225
C_millotii_A222_38,-15.68333,50.25
C_perrieri_A12_1,-18.043941,44.050504
C_perrieri_A12_2,-22.707778,44.145556
C_perrieri_A12_3,-22.718056,44.156111
C_perrieri_A12_4,-22.845833,44.263056
C_perrieri_A12_5,-22.853611,44.272222
C_perrieri_A12_6,-22.820556,44.287778
C_perrieri_A12_7,-22.820833,44.288056
C_perrieri_A12_8,-18.035903,44.324103
C_perrieri_A12_9,-17.93972,44.47222
C_perrieri_A12_10,-17.939722,44.472222
C_perrieri_A12_11,-18.027778,44.516667
C_perrieri_A12_12,-18.11139,44.56194
C_perrieri_A12_13,-18.111388,44.561944
C_perrieri_A12_14,-18.111389,44.561944
C_perrieri_A12_15,-19.141667,44.791667
C_perrieri_A12_16,-16.216667,45.116667
C_perrieri_A12_17,-21.188611,45.365556
C_perrieri_A12_18,-22.153056,45.375278
C_perrieri_A12_19,-22.486389,45.375278
C_perrieri_A12_20,-17.067958,45.985053
C_perrieri_A12_21,-17.06269,45.989
C_perrieri_A12_22,-17.052635,45.989986
C_perrieri_A12_23,-17.044592,45.993359
C_perrieri_A12_24,-17.117573,46.015693
C_perrieri_A12_25,-17.117819,46.015711
C_perrieri_A12_26,-24.310833,46.109722
C_perrieri_A12_27,-24.303611,46.145833
C_perrieri_A12_28,-24.33638,46.15777
C_perrieri_A12_29,-24.560833,46.333889
C_perrieri_A12_30,-25.023333,46.473056
C_perrieri_A12_31,-24.793889,46.599722
C_perrieri_A12_32,-24.8,46.6
C_perrieri_A12_33,-24.80373,46.60223
C_perrieri_A12_34,-24.806111,46.603611
C_perrieri_A12_35,-24.806111,46.611944
C_perrieri_A12_36,-25.023333,46.639722
C_perrieri_A12_37,-24.798889,46.673333
C_perrieri_A12_38,-22.316667,46.783333
C_perrieri_A12_39,-16.763061,47.01973
C_perrieri_A12_40,-14.79531,47.781762
C_perrieri_A12_41,-21.3825,47.863889
C_perrieri_A12_42,-21.376389,47.867222
C_perrieri_A12_43,-14.28333,49.76667
C_pervilleana_A957_1,-17.54361,44.28417
C_pervilleana_A957_2,-17.543506,44.2843
C_pervilleana_A957_3,-18.01528,44.30139
C_pervilleana_A957_4,-18.015404,44.301506
C_pervilleana_A957_5,-18.033509,44.315803
C_pervilleana_A957_6,-18.03361,44.31583
C_pervilleana_A957_7,-18.035903,44.324308
C_pervilleana_A957_8,-18.941667,44.433333
C_pervilleana_A957_9,-18.032096,44.497196
C_pervilleana_A957_10,-18.061111,44.516667
C_pervilleana_A957_11,-18.117777,44.561388
C_pervilleana_A957_12,-18.117778,44.561389
C_pervilleana_A957_13,-18.11778,44.56139
C_pervilleana_A957_14,-18.683333,44.775
C_pervilleana_A957_15,-16.433333,45.35
C_pervilleana_A957_16,-17.077081,45.920397
C_pervilleana_A957_17,-17.07882,45.923007
C_pervilleana_A957_18,-19.373383,46.70604
C_pervilleana_A957_19,-16.3,46.816667
C_pervilleana_A957_20,-21.383333,47.866667
C_pervilleana_A957_21,-21.376389,47.8675
C_pervilleana_A957_22,-13.33333,48.25
C_pervilleana_A957_23,-13.41666,48.3
C_pervilleana_A957_24,-13.423611,48.313333
C_pervilleana_A957_25,-13.42111,48.31388
C_pervilleana_A957_26,-13.42111,48.31389
C_pervilleana_A957_27,-13.40833,48.32222
