specimen_id,latitude,longitude
C_heimii_A516,-12.279828,49.263119
C_heimii_A516,-12.398991,49.2757
C_heimii_A516,-12.318289,49.303872
C_heimii_A516,-12.355424,49.306528
C_heimii_A516,-12.231176,49.319958
C_heimii_A516,-12.396327,49.3425
C_heimii_A516,-12.210881,49.347115
C_heimii_A516,-12.37361,49.35305
C_heimii_A516,-12.322474,49.387585
C_heimii_A516,-12.38876,49.398762
C_heimii_A516,-12.56666,49.43333
C_heimii_A516,-12.566667,49.433333
C_heimii_A516,-12.278797,49.435269
C_heimii_A516,-12.593611,49.442777
C_heimii_A516,-12.58472,49.45611
C_heimii_A516,-12.580463,49.549809
C_heimii_A516,-12.454103,49.569592
C_heimii_A516,-12.970278,49.583333
C_homollei_A945,-21.3825,47.863889
C_homollei_A945,-21.383333,47.866667
C_homollei_A945,-19.163056,48.581389
C_homollei_A945,-17.50388,48.73111
C_homollei_A945,-17.503889,48.731111
C_homollei_A945,-17.916667,49.2
C_homollei_A945,-17.931667,49.203333
C_homollei_A945,-16.8625,49.26694
C_homollei_A945,-16.8625,49.266944
C_humbertii_RNF785,-23.078725,43.610638
C_humbertii_RNF785,-23.250722,43.625805
C_humbertii_RNF785,-23.250722,43.625806
C_humbertii_RNF785,-23.066388,43.665555
C_humbertii_RNF785,-23.002222,43.714444
C_humbertii_RNF785,-23.451389,43.784722
C_humbertii_RNF785,-22.875,43.7975
C_humbertii_RNF785,-23.2,43.916667
C_humbertii_RNF785,-23.26667,43.98333
C_humbertii_RNF785,-23.266667,43.983333
C_humbertii_RNF785,-23.266667,43.983334
C_humbertii_RNF785,-23.216667,44.033333
C_humbertii_RNF785,-23.188611,44.0525
C_humbertii_RNF785,-23.186389,44.052778
C_humbertii_RNF785,-23.133333,44.1
C_humbertii_RNF785,-23.5318,44.1366
C_humbertii_RNF785,-23.526389,44.155
C_humbertii_RNF785,-23.88333,44.28333
C_humbertii_RNF785,-23.883333,44.283333
C_humbertii_RNF785,-23.883334,44.283333
C_humbertii_RNF785,-23.733333,44.35
C_humbertii_RNF785,-23.733333,44.383333
C_humbertii_RNF785,-23.833333,44.4
C_humbertii_RNF785,-22.92,44.58
C_humbertii_RNF785,-22.916667,44.583333
C_humbertii_RNF785,-23.650485,44.632515
C_humbertii_RNF785,-23.66666,44.63333
C_humbertii_RNF785,-23.666667,44.633333
C_humbertii_RNF785,-23.66666,44.65
C_humbertii_RNF785,-22.83,44.68
C_humbertii_RNF785,-22.88,44.68
C_humbertii_RNF785,-22.878083,44.681028
C_humbertii_RNF785,-22.783333,44.683333
C_humbertii_RNF785,-22.888583,44.690055
C_humbertii_RNF785,-22.7,44.7
C_humbertii_RNF785,-20.166667,45.1
C_humbertii_RNF785,-20.183333,45.116667
C_kianjavatensis_A602,-21.383333,47.85
C_kianjavatensis_A602,-21.38028,47.85861
C_kianjavatensis_A602,-21.383333,47.866667
C_kianjavatensis_A602,-21.388333,47.939444
C_lancifolia_A320,-21.383333,47.866667
C_lancifolia_A320,-17.931666,49.203333
C_lancifolia_A320,-17.931667,49.203333
C_leroyi_A315,-23.25,44.01667
C_leroyi_A315,-21.283333,47.65
C_leroyi_A315,-21.38333,47.86666
C_leroyi_A315,-21.383333,47.866667
C_leroyi_A315,-21.375,47.867778
C_leroyi_A315,-17.54222,48.72222
C_leroyi_A315,-17.484167,48.746667
C_leroyi_A315,-17.50694,48.76777
C_leroyi_A315,-14.33666,49.28583
C_leroyi_A315,-14.325556,49.301389
C_leroyi_A315,-14.30166,49.31111
C_leroyi_A315,-14.61111,49.40333
C_leroyi_A315,-14.58777,49.68888
C_leroyi_A315,-14.58778,49.68889
C_millotii_A222,-23.0,47.0
C_millotii_A222,-21.3825,47.863889
C_millotii_A222,-21.383333,47.866667
C_millotii_A222,-21.376389,47.867222
C_millotii_A222,-21.375833,47.8675
C_millotii_A222,-21.375278,47.868333
C_millotii_A222,-21.376944,47.870278
