,specimen_id,longitude,latitude,key
7840,rabica_7840,-103.359077,20.711164,rabica
7841,rabica_7841,-66.659085,18.11002,rabica
7915,rabica_7915,-76.160294,4.027453,rabica
7916,rabica_7916,-76.160294,4.027453,rabica
7917,rabica_7917,-76.160294,4.027453,rabica
7918,rabica_7918,-76.160294,4.027453,rabica
7919,rabica_7919,-76.160294,4.027453,rabica
7920,rabica_7920,-96.421119,15.915706,rabica
7921,rabica_7921,-66.861888,18.296503,rabica
7922,rabica_7922,-158.037003,21.526237,rabica
7924,rabica_7924,-158.040976,21.512931,rabica
7925,rabica_7925,-90.430022,-0.669939,rabica
7926,liberica_7926,-66.959923,18.325258,liberica
7927,rabica_7927,-76.270209,1.879912,rabica
7939,rabica L._7939,13.0,-13.011389,rabica
7941,rabica_7941,-155.191623,19.790901,rabica
7942,rabica_7942,-49.282022,-26.803739,rabica
7943,rabica_7943,-79.45419,-1.98863,rabica
7944,rabica_7944,-159.561298,21.900089,rabica
7952,rabica_7952,30.899727,-29.85286,rabica
7953,rabica_7953,-75.326642,2.685106,rabica
7955,rabica_7955,-89.452105,-0.9069,rabica
7956,rabica_7956,-155.145337,19.729633,rabica
7957,rabica_7957,-84.107572,10.011671,rabica
7958,rabica_7958,-79.902478,-3.292249,rabica
7959,rabica_7959,-89.451227,-0.907193,rabica
7960,canephora_7960,-67.058217,18.26735,canephora
7961,rabica_7961,-66.891997,18.165747,rabica
7962,rabica_7962,-71.147597,18.024777,rabica
7963,rabica_7963,-51.529167,-1.708333,rabica
7965,rabica_7965,-84.856537,10.340913,rabica
7966,rabica_7966,-155.92177,19.511175,rabica
7967,rabica_7967,-157.816454,21.33507,rabica
7968,rabica_7968,48.253404,-13.825989,rabica
7969,rabica_7969,-78.426876,-1.392834,rabica
7972,Psilanthus mannii Hook.f._7972,12.00412,-0.13473,Psilanthus
7973,Psilanthus lebrunianus (Germ. & Kesler) J.-F.Leroy ex Bridson_7973,12.00374,-0.13614,Psilanthus
7974,Psilanthus ebracteolatus Hiern_7974,-9.32947,8.39336,Psilanthus
7976,mayombensis A.Chev._7976,14.00148,-1.97062,mayombensis
7979,rabica_7979,-65.962293,18.212957,rabica
7980,rabica_7980,-65.962126,18.213311,rabica
7981,rabica_7981,-79.619763,-1.045557,rabica
7983,rabica_7983,-66.110192,18.038189,rabica
7984,rabica_7984,-65.963088,18.213726,rabica
7985,rabica_7985,-90.323706,-0.682746,rabica
7996,rabica_7996,-78.028389,1.134583,rabica
7997,rabica_7997,-78.051861,1.134139,rabica
8000,rabica L._8000,-51.717222,-17.923056,rabica
8002,rabica L._8002,-42.993611,-22.446111,rabica
8003,rabica L._8003,-48.516389,-27.732778,rabica
8004,rabica L._8004,-48.516389,-27.732778,rabica
8005,liberica Hiern_8005,-52.380556,-24.033056,liberica
8007,rabica_8007,-76.645587,-0.191774,rabica
8008,rabica_8008,-76.647647,-0.184907,rabica
8009,rabica_8009,-43.876495,-16.721064,rabica
8010,mangoroensis_8010,48.380066,-19.189873,mangoroensis
8011,rabica_8011,-76.645244,-0.19452,rabica
8012,rabica_8012,-76.644214,-0.19246,rabica
8013,rabica_8013,-76.644214,-0.190057,rabica
8015,canephora_8015,76.92335,10.34576,canephora
8016,canephora_8016,76.90545,10.31273,canephora
8017,canephora_8017,76.96959,10.33753,canephora
8018,canephora_8018,76.96959,10.33753,canephora
8019,canephora_8019,76.8935,10.36078,canephora
8020,canephora_8020,76.8935,10.36078,canephora
8021,canephora_8021,76.89307,10.35761,canephora
8022,canephora_8022,76.91162,10.31422,canephora
8028,rabica_8028,-75.243102,9.767083,rabica
8029,rabica_8029,-75.243102,9.767083,rabica
8030,rabica_8030,-75.243102,9.767083,rabica
8031,rabica_8031,-75.243102,9.767083,rabica
8032,rabica_8032,-75.243102,9.767083,rabica
8033,rabica_8033,-75.243102,9.767083,rabica
8034,rabica_8034,-75.194078,9.898019,rabica
8035,rabica_8035,-75.19369,9.899062,rabica
8036,rabica_8036,-75.19369,9.899062,rabica
8037,rabica_8037,-75.19369,9.899062,rabica
8038,rabica_8038,-75.19369,9.899062,rabica
8039,rabica_8039,-75.19534,9.897424,rabica
8040,rabica_8040,-75.19534,9.897424,rabica
8041,rabica_8041,-75.19534,9.897424,rabica
8042,rabica_8042,-75.19534,9.897424,rabica
8043,rabica_8043,-75.19534,9.897424,rabica
8044,rabica_8044,-75.19534,9.897424,rabica
8045,rabica_8045,-75.193697,9.897974,rabica
8046,rabica_8046,-75.193697,9.897974,rabica
8047,rabica_8047,-75.193697,9.897974,rabica
8048,rabica_8048,-75.193697,9.897974,rabica
8049,rabica_8049,-75.193697,9.897974,rabica
8050,rabica_8050,-75.193697,9.897974,rabica
8051,rabica_8051,-75.194078,9.898019,rabica
8052,rabica_8052,-75.193697,9.897974,rabica
8053,rabica_8053,-75.19477,9.89488,rabica
8054,rabica_8054,-75.19477,9.89488,rabica
8055,rabica_8055,-75.19477,9.89488,rabica
8056,rabica_8056,-75.19477,9.89488,rabica
8057,rabica_8057,-75.19477,9.89488,rabica
8058,rabica_8058,-75.19477,9.89488,rabica
8059,rabica_8059,-75.19477,9.89488,rabica
8060,rabica_8060,-75.194839,9.894856,rabica
8061,rabica_8061,-75.194839,9.894856,rabica
8062,rabica_8062,-75.194839,9.894856,rabica
8063,rabica_8063,-75.194078,9.898019,rabica
8064,rabica_8064,-75.194078,9.898019,rabica
8065,rabica_8065,-75.187518,9.907459,rabica
8066,rabica_8066,-75.194907,9.897519,rabica
8067,rabica_8067,-75.194907,9.897519,rabica
8068,rabica_8068,-75.194907,9.897519,rabica
8069,rabica_8069,-75.194907,9.897519,rabica
8070,rabica_8070,-75.194907,9.897519,rabica
8071,rabica_8071,-75.194907,9.897519,rabica
8072,rabica_8072,-75.194907,9.897519,rabica
8073,rabica_8073,-75.194907,9.897519,rabica
8074,rabica_8074,-75.194907,9.897519,rabica
8075,rabica_8075,-75.194907,9.897519,rabica
8076,rabica_8076,-75.187518,9.907459,rabica
8077,rabica_8077,-75.187518,9.907459,rabica
8078,rabica_8078,-75.187518,9.907459,rabica
8079,rabica_8079,-75.187518,9.907459,rabica
8080,rabica_8080,-75.187518,9.907459,rabica
8081,rabica_8081,-75.187518,9.907459,rabica
8082,rabica_8082,-75.187518,9.907459,rabica
8083,rabica_8083,-75.187518,9.907459,rabica
8084,rabica_8084,-75.187518,9.907459,rabica
8085,rabica_8085,-75.187518,9.907459,rabica
8086,rabica_8086,-75.187518,9.907459,rabica
8087,rabica_8087,-78.371318,0.800327,rabica
8088,rabica_8088,153.090124,-30.27747,rabica
8089,rabica_8089,-155.98438,19.70609,rabica
8090,rabica_8090,-157.851546,21.510634,rabica
8091,rabica_8091,-66.986442,18.175792,rabica
8092,rabica_8092,145.570399,-16.81403,rabica
8093,coursiana J.-F. Leroy_8093,48.553056,-19.164722,coursiana
8094,rabica L._8094,-49.241667,-25.442222,rabica
8095,rabica L._8095,-49.241667,-25.4425,rabica
8096,Psilanthus mannii Hook. f._8096,11.012835,4.153509,Psilanthus
8097,tsoana Stoff. & Sonké_8097,11.03,4.21,tsoana
8098,tsoana Stoff. & Sonké_8098,11.13,4.25,tsoana
8099,tsoana Stoff. & Sonké_8099,11.12,4.25,tsoana
8100,Psilanthus mannii Hook. f._8100,11.001839,4.144654,Psilanthus
8101,Psilanthus mannii Hook. f._8101,11.00275,4.17632,Psilanthus
8102,Psilanthus mannii Hook. f._8102,10.48608,3.240851,Psilanthus
8103,tsoana Stoff. & Sonké_8103,11.12,4.24,tsoana
8104,tsoana Stoff. & Sonké_8104,11.12,4.24,tsoana
8105,Psilanthus mannii Hook. f._8105,11.0044,4.16421,Psilanthus
8106,Psilanthus mannii Hook. f._8106,10.48608,3.240851,Psilanthus
8107,tsoana Stoff. & Sonké_8107,11.03,4.21,tsoana
8108,Psilanthus mannii Hook. f._8108,11.012835,4.153509,Psilanthus
8109,Psilanthus mannii Hook. f._8109,11.001839,4.144654,Psilanthus
8110,tsoana Stoff. & Sonké_8110,11.13,4.25,tsoana
8111,tsoana Stoff. & Sonké_8111,11.12,4.25,tsoana
8112,tsoana Stoff. & Sonké_8112,11.12,4.24,tsoana
8113,Psilanthus mannii Hook. f._8113,10.48608,3.240851,Psilanthus
8114,Psilanthus mannii Hook. f._8114,11.00275,4.17632,Psilanthus
8115,tsoana Stoff. & Sonké_8115,11.12,4.24,tsoana
8116,tsoana Stoff. & Sonké_8116,11.12,4.24,tsoana
8117,Psilanthus mannii Hook. f._8117,11.0044,4.16421,Psilanthus
8118,tsoana Stoff. & Sonké_8118,11.12,4.24,tsoana
8119,tsoana Stoff. & Sonké_8119,11.03,4.21,tsoana
8120,tsoana Stoff. & Sonké_8120,11.12,4.24,tsoana
8121,Psilanthus mannii Hook. f._8121,11.012835,4.153509,Psilanthus
8122,Psilanthus mannii Hook. f._8122,11.001839,4.144654,Psilanthus
8123,tsoana Stoff. & Sonké_8123,11.13,4.25,tsoana
8124,tsoana Stoff. & Sonké_8124,11.12,4.24,tsoana
8125,tsoana Stoff. & Sonké_8125,11.12,4.24,tsoana
8126,Psilanthus mannii Hook. f._8126,11.00275,4.17632,Psilanthus
8127,tsoana Stoff. & Sonké_8127,11.13,4.25,tsoana
8128,tsoana Stoff. & Sonké_8128,11.12,4.25,tsoana
8129,tsoana Stoff. & Sonké_8129,11.03,4.21,tsoana
8130,Psilanthus mannii Hook. f._8130,11.00275,4.17632,Psilanthus
8131,Psilanthus mannii Hook. f._8131,11.012835,4.153509,Psilanthus
8132,Psilanthus mannii Hook. f._8132,11.001839,4.144654,Psilanthus
8133,tsoana Stoff. & Sonké_8133,11.13,4.25,tsoana
8134,tsoana Stoff. & Sonké_8134,11.12,4.24,tsoana
8135,tsoana Stoff. & Sonké_8135,11.12,4.25,tsoana
8136,tsoana Stoff. & Sonké_8136,11.03,4.21,tsoana
8137,Psilanthus mannii Hook. f._8137,11.00275,4.17632,Psilanthus
8138,Psilanthus mannii Hook. f._8138,11.001839,4.144654,Psilanthus
8139,tsoana Stoff. & Sonké_8139,11.12,4.24,tsoana
8140,tsoana Stoff. & Sonké_8140,11.12,4.24,tsoana
8141,Psilanthus mannii Hook. f._8141,11.0044,4.16421,Psilanthus
8142,Psilanthus mannii Hook. f._8142,11.012835,4.153509,Psilanthus
8143,Psilanthus mannii Hook. f._8143,11.001839,4.144654,Psilanthus
8144,tsoana Stoff. & Sonké_8144,11.12,4.24,tsoana
8145,tsoana Stoff. & Sonké_8145,11.12,4.24,tsoana
8146,Psilanthus mannii Hook. f._8146,10.48608,3.240851,Psilanthus
8147,Psilanthus mannii Hook. f._8147,11.012835,4.153509,Psilanthus
8148,tsoana Stoff. & Sonké_8148,11.12,4.24,tsoana
8149,Psilanthus mannii Hook. f._8149,10.48608,3.240851,Psilanthus
8150,Psilanthus mannii Hook. f._8150,11.0044,4.16421,Psilanthus
8151,perrieri Drake ex Jum. & H. Perrier_8151,44.272222,-22.853611,perrieri
8152,Psilanthus mannii Hook. f._8152,11.001839,4.144654,Psilanthus
8153,tsoana Stoff. & Sonké_8153,11.13,4.25,tsoana
8154,tsoana Stoff. & Sonké_8154,11.03,4.21,tsoana
8155,Psilanthus mannii Hook. f._8155,11.00275,4.17632,Psilanthus
8156,tsoana Stoff. & Sonké_8156,11.13,4.25,tsoana
8157,tsoana Stoff. & Sonké_8157,11.03,4.21,tsoana
8158,Psilanthus mannii Hook. f._8158,11.012835,4.153509,Psilanthus
8159,Psilanthus mannii Hook. f._8159,11.001839,4.144654,Psilanthus
8160,tsoana Stoff. & Sonké_8160,11.12,4.24,tsoana
8161,Psilanthus mannii Hook. f._8161,10.48608,3.240851,Psilanthus
8162,tsoana Stoff. & Sonké_8162,11.03,4.21,tsoana
8163,Psilanthus mannii Hook. f._8163,11.012835,4.153509,Psilanthus
8164,tsoana Stoff. & Sonké_8164,11.13,4.25,tsoana
8165,Psilanthus mannii Hook. f._8165,10.48608,3.240851,Psilanthus
8166,Psilanthus mannii Hook. f._8166,11.00275,4.17632,Psilanthus
8167,rabica_8167,-71.184972,8.575004,rabica
8168,rabica_8168,-46.624261,-23.638543,rabica
8169,rabica_8169,-155.923094,19.489409,rabica
8170,rabica_8170,-155.879705,19.380718,rabica
8171,rabica_8171,-96.391165,15.876928,rabica
8173,rabica_8173,151.254455,-33.831263,rabica
8174,rabica_8174,-97.957327,20.323249,rabica
8175,rabica_8175,165.863937,-21.638217,rabica
8176,rabica_8176,77.783981,13.075803,rabica
8177,rabica_8177,-96.942606,19.513972,rabica
8178,rabica_8178,115.068828,-8.25885,rabica
8179,rabica_8179,101.283103,-1.78295,rabica
8180,rabica_8180,-71.104796,6.281167,rabica
8181,rabica_8181,75.731596,13.41622,rabica
8182,rabica_8182,-86.999402,14.006498,rabica
8183,rabica_8183,-46.664661,-23.562439,rabica
8184,rabica_8184,-74.104537,11.149584,rabica
8185,rabica_8185,76.11025,11.336178,rabica
8186,rabica_8186,-72.539903,-13.14873,rabica
8187,rabica_8187,-87.007835,14.012342,rabica
8188,rabica_8188,153.450495,-28.109568,rabica
8189,rabica_8189,-84.612569,10.388561,rabica
8190,bissetiae_8190,47.590008,-15.407416,bissetiae
8194,rabica_8194,114.263478,22.374478,rabica
8195,rabica_8195,-93.599707,16.156554,rabica
8196,rabica_8196,153.406756,-28.980014,rabica
8197,rabica_8197,-44.729637,-23.35082,rabica
8198,rabica_8198,-46.638908,-22.709245,rabica
8199,bissetiae_8199,47.504282,-15.403732,bissetiae
8201,rabica_8201,-52.210278,-3.198611,rabica
8206,rabica_8206,-52.583611,-7.269444,rabica
8208,rabica_8208,-67.762438,-16.190364,rabica
8209,wightiana_8209,77.39329,9.418123,wightiana
8210,rabica_8210,153.515517,-28.173264,rabica
8211,rabica_8211,-43.359106,-21.745224,rabica
8212,rabica_8212,-157.79393,21.32867,rabica
