env_76_soi_10,env_71_alt,env_76_soi_9,env_78_wat_3,env_76_soi_11,clim_70_ndm_per_year,env_79_forcov,env_77_veg_14,clim_60_pet5_may,env_73_asp,clim_34_prec10_oct,env_77_veg_16,clim_40_temp_season,clim_69_cwd_annual,clim_39_isotherm
0,31.0,0,0,0,1.0,5.0,0,94.0,180.0,150.0,1,2197.0,1.0,59.0
0,28.0,0,0,0,1.0,0.0,0,92.0,30.0,138.0,0,2038.0,0.0,59.0
0,34.0,0,0,0,1.0,9.0,0,97.0,231.0,113.0,1,2079.0,19.0,62.0
0,621.0,1,0,0,1.0,100.0,1,77.0,180.0,111.0,0,2259.0,9.0,64.0
0,621.0,1,0,0,1.0,100.0,1,77.0,180.0,111.0,0,2259.0,9.0,64.0
1,106.0,0,0,0,4.0,2.0,0,104.0,177.0,95.0,1,1792.0,64.0,65.0
1,69.0,0,0,0,4.0,22.0,0,100.0,240.0,97.0,1,1808.0,51.0,66.0
0,244.0,0,0,0,4.0,17.0,1,97.0,150.0,99.0,0,1835.0,40.0,65.0
0,297.0,0,0,0,4.0,74.0,1,97.0,341.0,98.0,0,1836.0,38.0,65.0
0,206.0,0,0,0,4.0,74.0,1,98.0,187.0,97.0,0,1823.0,41.0,65.0
0,261.0,0,0,0,4.0,87.0,1,98.0,7.0,97.0,0,1821.0,40.0,66.0
0,206.0,0,0,0,4.0,74.0,1,98.0,187.0,97.0,0,1823.0,41.0,65.0
0,86.0,0,0,0,8.0,0.0,0,101.0,355.0,81.0,0,1879.0,687.0,65.0
0,86.0,0,0,0,8.0,0.0,0,101.0,355.0,81.0,0,1879.0,687.0,65.0
0,98.0,0,0,0,8.0,0.0,0,100.0,223.0,82.0,0,1866.0,677.0,65.0
0,98.0,0,0,0,8.0,0.0,0,100.0,223.0,82.0,0,1866.0,677.0,65.0
0,229.0,0,0,0,8.0,3.0,0,96.0,10.0,102.0,0,1783.0,603.0,67.0
0,259.0,0,0,0,8.0,62.0,0,92.0,208.0,105.0,0,1799.0,567.0,67.0
0,259.0,0,0,0,8.0,62.0,0,92.0,208.0,105.0,0,1799.0,567.0,67.0
0,243.0,0,0,0,8.0,42.0,0,94.0,231.0,105.0,0,1814.0,580.0,67.0
0,201.0,0,0,0,8.0,33.0,0,116.0,98.0,129.0,0,1488.0,681.0,69.0
1,336.0,0,1,0,1.0,9.0,0,71.0,211.0,178.0,1,2564.0,32.0,61.0
0,92.0,0,1,1,1.0,16.0,0,76.0,173.0,173.0,1,2512.0,27.0,60.0
0,122.0,0,0,0,7.0,72.0,0,115.0,58.0,169.0,0,1230.0,465.0,71.0
0,267.0,0,0,0,7.0,96.0,1,112.0,176.0,168.0,0,1222.0,450.0,71.0
0,55.0,0,0,0,7.0,29.0,0,114.0,111.0,161.0,0,1387.0,409.0,69.0
0,1128.0,1,0,0,6.0,96.0,1,68.0,267.0,104.0,0,1854.0,226.0,71.0
0,78.0,0,1,1,1.0,0.0,0,77.0,11.0,172.0,1,2493.0,27.0,60.0
0,211.0,0,1,1,1.0,18.0,0,73.0,347.0,171.0,1,2525.0,23.0,59.0
0,201.0,0,1,1,1.0,0.0,0,75.0,48.0,172.0,1,2510.0,26.0,60.0
0,78.0,0,1,1,1.0,0.0,0,77.0,11.0,172.0,1,2493.0,27.0,60.0
0,92.0,0,1,1,1.0,16.0,0,76.0,173.0,173.0,1,2512.0,27.0,60.0
